index,comment_text,toxic
0,"BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ",0
1,"replurks acatholicprayer: Lord Jesus Christ  Son of God  have mercy on me  a sinner! #Catholic #prayer http://t.co/SkDTy78y3k",0
2,"@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:",0
3,"@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ",0
4,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
5,"Half the world is starving  the other half is struggling to lose weight! | #SickWorld",0
6,"#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ",0
7,"Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ",0
8,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
9,"I got tampons!  http://t.co/lnWQtxriUZ",0
10,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
11,"Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9",0
12,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
13,"You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama",0
14," feeling well",0
15,"Ceeeeebz work  allow dat ting fam",0
16,"@salgovernale I know it was you Fredo. You broke my heart!",0
17,"Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen",0
18,"Wheres the rodgers in brigade ",0
19,"Absolutely love waking up to snow ",0
20,"@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses",0
21,"Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:",0
22,"@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup",0
23,"Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut",0
24,"Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk",0
25,"@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC",0
26,"@Chxta They were probably  contracted to work for free. ",0
27,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
28,"A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli",0
29,"Bet that was #limbs in the Sunderland end",0
30,"@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf",0
31,"@edryden33 ill see if I can :winking_face:",0
32,"Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot ",0
33,"@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.",0
34,"#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu  #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU",0
35,"@amandakaschube Like I need to be reminded of BP Cup competition dates! ",0
36,"Halfway thorough my workday ... Woooo ",0
