,comment_text,toxic
0,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
1,That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,0
2,@parisbreedenw You need to  it's an experience to say the least,0
3,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
4,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
5,I just love not being able to sleep..  #sotired,0
6,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0
7,Why YES! Of course I use  a lot in my day....because violence is illegal.,0
8,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
9,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
10,love is bliss... ,0
11,@MBCompanyMan Also  I would not that my tone was joking  though it's difficult to properly convey that in a Tweet. ,0
12,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
13,i'm so funny ,0
14,Glad I'm up at 1am ,0
15,@lkoch99 Wow  neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas  Larry!,0
16,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
17,Save Manage & Make Money - Join for $99 make $600 #Discounts #Vacations and more http://t.co/6mTjJ6i7Nf,0
18,Well my mornings going very nicely:smiling_face_with_smiling_eyes: ,0
19,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ,0
20, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
21,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
22,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
23,@nfullers98 I liked .. Don't regret anything that made you smile... Ha ha,0
24,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
25,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
26,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
27,That's always a great way to boost self-esteem ,0
28,@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?,0
29,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
30,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
31,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft,0
32,Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord,0
33,Had no sleep and have got school now  happy:pouting_face:,0
34,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
35,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
36,Loving life. ,0
37,@CraziestSex: Stay faithful or stay single,0
38,Tripped over my own feet three times in the hall #soclumsy,0
39,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
40,I'm glad H & M has employed enough staff today.  #nohelp #terrible,0
41,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,0
42,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
43,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
44,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada,0
45,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
46,suddenly w-wada  http://t.co/lwdLPpuDSj,0
