,comment_text,toxic
0,My prayers have been answered WE OUT,0
1,@JColeNC thanks for noticing me ,0
2,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
3,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
4,Hope Tulisa doesn't get a job back on #xfactor next year,0
5,Just flossed and then ate right after #inconvenient ,0
6,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
7,@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals,0
8,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
9,@AIIAmericanGirI So  this Topless Feminist was just looking for someone to love? ,0
10,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
11,@f_fizzle did you get fat on your honeymoon?,0
12,@RandBall gotta hand it to them  really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:,0
13,@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180,0
14,That one time I didn't feel in over my head. ,0
15,@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC,0
16,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
17,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
18,Love working hard trying to fix other people's fuck ups ,0
19,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
20,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
21,Mirror mirror on the wall  when will I find happiness?,0
22,probably going to fail tomorrow yayy  #GlobalArtistHMA #MTVStars One Direction,0
23,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
24,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
25,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
26,Double standards are always a fun thing ,0
27,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
28,Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ,0
29,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
30,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
31,I literally have plans every night my entire vacation.,0
32,Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ,0
33,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
34,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
35,@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.,0
36,Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ,0
37,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
38,One from her please *cries* http://t.co/z0Yt6Dax7s,0
39,About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR,0
