index,comment_text,toxic
0,"Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:",0
1,"@blissfulbrann holy fuck  those lyrics fit so good to the movie Interstellar! #chills #freakyfriday",0
2,"@lkoch99 Wow  neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas  Larry!",0
3,"@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ",0
4,"@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses",0
5,"love is bliss... ",0
6,"Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ",0
7,"@amandakaschube Like I need to be reminded of BP Cup competition dates! ",0
8,"MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck",0
9,"#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM",0
10,"Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:",0
11,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
12,"@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3",0
13,"A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn",0
14,"I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ",0
15,"@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....",0
16,"And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.",0
17,"You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama",0
18,"@nfullers98 Georgia's nativity play in the morning too..",0
19,"Today is just not my day :pensive_face:",0
20,"@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?",0
21,"Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2",0
22,"#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k",0
23,"Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ",0
24,"The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..",0
25,"Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9",0
26,"You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza",0
27,"@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? ",0
28,"#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ",0
29,"Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ",0
30,"Aaaaaaaaand we're back in the ER. Hooray for no sleep! ",0
31,"Shakespeare is great  :face_with_no_good_gesture::pistol:",0
32,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
33,"@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ",0
34," Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP",0
35,"Happy new year to meeeee... http://t.co/ZLtXiVB7qH",0
36,"hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA",0
37,"One from her please *cries* http://t.co/z0Yt6Dax7s",0
