index,comment_text,toxic
0,"@kemmerinB I'm gunna sit here and ",0
1,"I'm pretty sure I have a snowman problem.",0
2,"Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:",0
3,"@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.",0
4,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
5,"@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.",0
6,"Well my mornings going very nicely:smiling_face_with_smiling_eyes: ",0
7,"Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?",0
8,"I just love not being able to sleep..  #sotired",0
9,"@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ",0
