,comment_text,toxic
0,@TharaAzzam explains why Inter went all Calciopoli over Juventus...,0
1,"http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls, a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;",0
2,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
3,I love when people leave their smelly shoes in my car. It makes my car smell great! ,1
4,Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW,1
5,I couldnt help myself.. I am a bad person...  http://t.co/bmdJcrFmgI,1
6,http://t.co/xMzzKi6kn6 << This should be Christmas number 1! #accounting  #absolutetosh,1
7,2014 can't end fast enough! Stupid dead battery.,0
8,A wonderful day of starting work at 6am ,1
9,@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.,0
10,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,1
11,#Libby #Lane #appointment: #Women #bishops #debate  #over: The appointment of the Reverend Libby Lane as the... http://t.co/YOj9HVUa8n,0
12,@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps ,1
13,My dads letting me drywall with him for Christmas. Just what I always wanted. ,1
14,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
15,YOU blame him for everything else @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @DrPenisWrinkle @kusun0,0
16, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,1
17,Just flossed and then ate right after #inconvenient ,1
18,Church sign of the day: How would you feel if we celebrated your birthday without you? :speak-no-evil_monkey: #StoleEm #TheReasonForTheSeason,0
19,@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion  ;),1
20,@nelsonicolee funny ,1
21,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures, yeah it's great ",1
22,Staying #casual #monday #funday  #ootd #fashion #style #allyouneedisstyle #todayimwearing http://t.co/tpuVqw7K4s,1
23,Off to a slow start this morning . :weary_face:,0
24,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. ",1
25,@PowerTripKFAN Adrian was raised that way and he made it to the NFL. Maybe he thought that would motivate his kid to get there too? ,1
26,Can you write your name on a paper and take a picture ... ‚Äî I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI,1
27,@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7,0
28,just one of those nights :pensive_face:,0
29,"A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.",1
30,If you don't want Hall to eventually ask for a trade then hope for consistency in the message. Change too much you might as well start over,0
31,Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z,0
32,"@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith, Muslims are our peaceful brothers ",1
33,@dirtydeathdog Can't wait to play the #BFHardline Beta with you XD #Epic,0
34,@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip,0
35,"Apparently my youth group thinks ""Are you kidding me?"" is my default expression--or ""nomal face."" #areyoukiddingme http://t.co/dBARs2XXTa",0
36,@CraziestSex: Stay faithful or stay single,0
37,Oh how I love that my ass is too big to fit into my jeans anymore.  #bigbootybitches,1
38,@AlTruda73 @TMJ4Steve Didn't Carolina beat Tampa Bay? the picks sheet has TB winning.,0
39,"@steigerwaldino Nah, it's better we all act like the North Korean govt and police people's private thoughts. ",1
40,Why am I wide awake right now..:face_without_mouth:,0
41,"Great, I've got a lung infection. This is fun. :/ | #notfun #miserable",1
42,I love watching liverpool truly inspiring ,1
43,One from her please *cries* http://t.co/z0Yt6Dax7s,0
44,Heading to my nanas place its going to be so fun ,1
45,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ,1
46,@Jaee_ThaPrince I need a spot for my birthday,0
47,"#Forever #Young, Forever  #Out, Forever in #our #hearts. |#RIP #PhillipJoelHughes. @vCricketAU @CricketAus",0
48,That's always a great way to boost self-esteem ,1
49,"@lkoch99 Wow, neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas, Larry!",0
50,@DFDSUKUpdates why all the delays?  happy,0
51,you have no argument because you're insane|@RBRNetwork1 @Steven_Swenson @TheLexZane @SSGAngle @JoeHilgerman @DanMartin_cards,0
52,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,1
53,My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM,0
54,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
55,", on the Same day, the 50th anniversary of the #FreeSpeechMovement, a brave critic, was abandoned by our conformist #Press.",1
56,Sad that when someone drinks they treat you like shit and won't talk to you.,0
57,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
58,Loving life. ,1
59,Einstein would be amused about Strider jumping around in time,0
