,comment_text,toxic
0,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,1
1,50 mph winds make a great hair fan for a photo shoot. :smiling_face_with_open_mouth:,1
2,Can always #countonmother to impart #wordsofkindness. Especially on a special day! !!,1
3,@XFINITY yay another outage in less than 8 hours. Keep up the good work! ,1
4,Such .   You still have to #praisehim ;),1
5,.@nypost .@Cameron_Gray Oh that makes it all better!!! ,1
6,So Aaron sorkin goes on @todayshow  to talk about not liking the media talking about Sony hack? Using media to bitch about media? ,1
7,"Thanks @AirAsia, for nothing. All my family were flying with you from KL to attend my wedding. #everyonecanfly  #AdelaideRouteCancelled",1
8,I'm glad H & M has employed enough staff today.  #nohelp #terrible,1
9,The thing I love the most about coming into work early? Having everyone ask me why I'm here so early. Gets me every time.  #annoying,1
10,American Kids starting playing and now I'm super missing #summer2k14 #kennychesney,0
11,me at restaurants: Is there wi-fi?|me at beach: Is there wi-fi?|me at family parties: Is there wi-fi?|me in hell: Is there wi-fi? #wifi,0
12,Hope Tulisa doesn't get a job back on #xfactor next year,0
13,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
14,"Always gonna be an uphill battle, sometimes I'm gonna have to lose.",0
15,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
16,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,1
17,For those of you that LOVE this time of year.  https://t.co/r6utbrXVrU,1
18,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
19,Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient',0
20,@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...,0
21,Aw thanks mother nature. Merry Christmas to you too! ,1
22,"MORON, no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck",0
23,"Ahhh 7 a.m bedtimes, how I've missed you  #examproblems",1
