,comment_text,toxic
0,@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip,0
1,@TharaAzzam explains why Inter went all Calciopoli over Juventus...,0
2,Yay I love being awake at 5 in the morning :grinning_face::pistol: ,0
3,@DeformedCircus I guess not. Stop insulting me.,0
4,Watch father and not his daughter FUCK http://t.co/6P9bzfNgPq #Old+Young #father #and ,0
5,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
6,Did you know ? If you are reading this right now you are not blind...lol. ,0
7,@eXoAnnihilator @roIIerCosta @KSIOlajidebt tells someone to spell correctly while completely fucking up his tweet ,0
8,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
9,Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. ,0
10,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,0
11,Well  weekend is over!|Now it's #TwitterTime again :D|Have a nice monday!|,0
12,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
13,@Vh1Supersonic Cause of all the things in life this seems to be in #Balance. |Music- Medicine  @Vh1Supersonic - Doctor|#SuperDayLineUp,0
14,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
15,@mmamania what time is the UFC press conference tomorrow with names of numerous fighters getting cut ,0
16,The whole #Misogyny thing is hanging in there with Women from the right . A cat fight now ?  imagine pulling that on the left #pmlive,0
17,Hey there! Nice to see you Minnesota/ND Winter Weather ,0
18,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
19,Can you write your name on a paper and take a picture ... ‚Äî I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI,0
20,Thanks @AirAsia  for nothing. All my family were flying with you from KL to attend my wedding. #everyonecanfly  #AdelaideRouteCancelled,0
21,The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:,0
22,Today's court proceedings  allowing prisoners access to books in England & Wales  surely confirms it's time to limit judicial review. ,0
23,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
24,BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ,0
25,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
26,Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR,0
27,Just flossed and then ate right after #inconvenient ,0
28,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
29,Church sign of the day: How would you feel if we celebrated your birthday without you? :speak-no-evil_monkey: #StoleEm #TheReasonForTheSeason,0
30,With dropping oil prices  thank goodness #PMHarper has worked so hard trying to tie our economy to the oil & gas sector.  #cdnpoli,0
31,At http://t.co/pMUxNeOvrn -- #Sketch #today #spudshed #fresh #fruit  .only.for.eating #for.drawing.as.well #drawing #Perth,0
