,comment_text,toxic
0,Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW,0
1,@SincerelyTumblr: One day I want to travel with my bestfriend :earth_globe_asia-australia::airplane:Ô∏è http://t.co/AXD3Ax5qC1 DONE DID TRAVELED DA WORLD!! @Bethanycsmithh :heavy_black_heart:Ô∏è,0
2,Sometimes i just dont understand anything|#stubborn http://t.co/nwhIEP4VWz,0
3, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
4,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
5,My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM,0
6,About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR,0
7,": When some masseuses offer ""soothing"" massages the way reviewers offer stinging criticisms. #Masseuse=#Reviewer #Massage=#Criticism",0
8,It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy ,0
9,Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?,0
10,@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986,0
11,Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:,0
12,Say no more.... #bigclub  http://t.co/ALcQQsASsY,0
13,When you show your valid 16-25 railcard and shes charges you full price anyway. Great service from Tamworth  @LondonMidland,0
14,@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7,0
15,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
16,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
17,...A teen named Bud Weisser was arrested by cops for breaking into a St. Louis party store...http://t.co/AxejCevQ1e,0
18,@mrjamieeast I think it was the hotel owners...,0
19,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
20,#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz,0
21,Oh how I love listening to Fox News in the background while opening presents. ,0
