,comment_text,toxic
0,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
1,Your friends will bring you down because they fucked up what they had males & females  me fool !,1
2,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
3,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
4,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
5,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
6,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
7,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
8,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
9,@TheSpinDoctor Of all the Spice Girls  you'd pick her?!,0
10,love is bliss... ,0
11,@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.,0
12,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
13,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
14,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
15,replurks acatholicprayer: Lord Jesus Christ  Son of God  have mercy on me  a sinner! #Catholic #prayer http://t.co/SkDTy78y3k,0
16,About to fuck up this Media exam  #actuallyihopeso,0
17, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
18,he was half of what she deserved  yet he was all that she ever wanted      ,0
19,@Chxta They were probably  contracted to work for free. ,0
20,That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,0
21,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
22,@salgovernale I know it was you Fredo. You broke my heart!,0
23,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
24,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
25,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
26,Absolutely love waking up to snow ,0
27,Glad I'm up at 1am ,0
28,Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:,0
29,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
30,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
31,Halfway thorough my workday ... Woooo ,0
32,@MagicManRAW @YankeesWFAN you don't know a damned thing about baseball  do you?,0
33,@RandBall gotta hand it to them  really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:,0
34,@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals,0
35,I just love not being able to sleep..  #sotired,0
36,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
37,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
38,Ceeeeebz work  allow dat ting fam,0
39,just pulled up to school for the first time in my life in a good mood only to find out it doesnt start for another 2 hours   #BLESSED,0
40,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ,0
41,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
42,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
43,Porygon2 #are  found in the www.monstermmorpg. com #wild. bulbiest follow @MonsterMMORPG #working,0
44,I really need to shoot something soon.,0
45,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
46,@kemmerinB I'm gunna sit here and ,0
47,@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong,0
48,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
49,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
50,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
51,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
52,@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ,0
53,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
54,I like creepy guys that ask me random questions at swic ,0
55,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? ,0
56,@MBCompanyMan Also  I would not that my tone was joking  though it's difficult to properly convey that in a Tweet. ,0
57,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
58,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
59,Thank you OCC for being concerned enough about my safety driving to school to cancel classes.... ,0
60,@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180,0
61,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
62,About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR,0
63,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
64,@DeformedCircus I guess not. Stop insulting me.,0
65,One from her please *cries* http://t.co/z0Yt6Dax7s,0
66,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
67,Today is just not my day :pensive_face:,0
68,So glad to be off work,0
69,Getting my midterm back was such a great start to my day  #badday,0
70,That's me  the infamous pepper shaker replacer. ,0
71,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
72,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
73,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
74,I always look super cute when guys come to fix stuff in the condo ,0
75,#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu  #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU,0
76, feeling well,0
