,comment_text,toxic
0,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
1,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
2,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
3,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,0
4,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
5,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:,0
6,@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj,0
7,MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck,0
8,@parisbreedenw You need to  it's an experience to say the least,0
9,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
10,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
11,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
12, feeling well,0
13,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
14,#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu  #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU,0
15,That one time I didn't feel in over my head. ,0
16,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ,0
17,i'm so funny ,0
18,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
19,Wheres the rodgers in brigade ,0
20,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
21,@salgovernale I know it was you Fredo. You broke my heart!,0
22,I literally have plans every night my entire vacation.,0
23,#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ,0
24,And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.,0
25,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
26,Thank you OCC for being concerned enough about my safety driving to school to cancel classes.... ,0
27,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
28,Save Manage & Make Money - Join for $99 make $600 #Discounts #Vacations and more http://t.co/6mTjJ6i7Nf,0
29,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
30,@f_fizzle did you get fat on your honeymoon?,0
31,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
32,That's always a great way to boost self-esteem ,0
33,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
34,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
35, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
36,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,0
37,@DeformedCircus I guess not. Stop insulting me.,0
38,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
39,The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..,0
40,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
41,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
42,http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;,0
43,@MagicManRAW @YankeesWFAN you don't know a damned thing about baseball  do you?,0
44,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0
45,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ,0
46,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
