,comment_text,toxic
0,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
1,Work Christmas Eve and Christmas Day.. Can't wait! ,0
2,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
3,just one of those nights :pensive_face:,0
4,Halfway thorough my workday ... Woooo ,0
5,@edryden33 ill see if I can :winking_face:,0
6,@nfullers98 Georgia's nativity play in the morning too..,0
7,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
8,Mirror mirror on the wall  when will I find happiness?,0
9,Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord,0
10,So glad to be off work,0
11,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
12,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
13,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
14,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
15,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
16,I seriously loveeeee how much you care ,0
17,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
18,Double standards are always a fun thing ,0
19,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1,0
20,Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. :expressionless_face: ,0
21,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
22,I really need to shoot something soon.,0
23,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
24,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
25,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
26,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
27,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
28,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
29,Ceeeeebz work  allow dat ting fam,0
30,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
31,That's me  the infamous pepper shaker replacer. ,0
32,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
33,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
34,Lol my timehop guy though.  http://t.co/OdljZGV4VM,0
35,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
36,Can always #countonmother to impart #wordsofkindness. Especially on a special day! !!,0
37,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0
38,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
39,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
40,suddenly w-wada  http://t.co/lwdLPpuDSj,0
41,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
42,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,0
43,Love working hard trying to fix other people's fuck ups ,0
44,I got tampons!  http://t.co/lnWQtxriUZ,0
45,he was half of what she deserved  yet he was all that she ever wanted      ,0
46,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
47,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
48,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
49,I doubt this week could get any better. ,0
50,About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR,0
51,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
52,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
53,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
