,comment_text,toxic
0, feeling well,0
1,I couldnt help myself.. I am a bad person...  http://t.co/bmdJcrFmgI,0
2,dats how u kno its winter http://t.co/UwvIqcpH8K,0
3,One of my favourite things about going to fanshawe is walking to the Z building ,0
4,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
5,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
6,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
7,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
8,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
9,That's me  the infamous pepper shaker replacer. ,0
10,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:,0
11,@CraziestSex: Stay faithful or stay single,0
12,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
13,@edryden33 ill see if I can :winking_face:,0
14,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
15,I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash,0
16,@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup,0
17,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
18,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
19,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
20,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
21,Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ,0
22,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
23,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
24,Hope Tulisa doesn't get a job back on #xfactor next year,0
25,@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.,0
26,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
27,I always look super cute when guys come to fix stuff in the condo ,0
28,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
29,I'm pretty sure I have a snowman problem.,0
30,Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient',0
31,Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ,0
32,Porygon2 #are  found in the www.monstermmorpg. com #wild. bulbiest follow @MonsterMMORPG #working,0
33,One from her please *cries* http://t.co/z0Yt6Dax7s,0
34,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
35,suddenly w-wada  http://t.co/lwdLPpuDSj,0
36,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
37,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
38,@RandBall gotta hand it to them  really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:,0
39,@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong,0
40,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
41,Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ,0
42,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
43,@parisbreedenw You need to  it's an experience to say the least,0
44,#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ,0
45,About to fuck up this Media exam  #actuallyihopeso,0
46,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
