,comment_text,toxic
0,Wheres the rodgers in brigade ,0
1,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
2,#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i,0
3,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
4,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
5,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft,0
6,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
7,Getting my midterm back was such a great start to my day  #badday,0
8,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
9,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
10,Lol my timehop guy though.  http://t.co/OdljZGV4VM,0
11,About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR,0
12,@JColeNC thanks for noticing me ,0
13,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
14,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
15,@salgovernale I know it was you Fredo. You broke my heart!,0
16,@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals,0
17,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
18,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask ,0
19,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,0
20,@TheSpinDoctor Of all the Spice Girls  you'd pick her?!,0
21,Double standards are always a fun thing ,0
22,Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord,0
23,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
24,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
25,@SkySports transfer fund of £250 000 is given to .... Nottingham Forest a team with a transfer embargo.  ,0
26,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
27,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
28,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
29,I just love not being able to sleep..  #sotired,0
30,Your friends will bring you down because they fucked up what they had males & females  me fool !,1
31,Halfway thorough my workday ... Woooo ,0
32,@kemmerinB I'm gunna sit here and ,0
33,@DeformedCircus I guess not. Stop insulting me.,0
34,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ,0
35,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
36,This is what  looks like  right? http://t.co/WdwI96OWwI,0
37,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
38,Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot ,0
39,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
40,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
41,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
42,@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC,0
43,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
44,BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ,0
45,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
46,Work Christmas Eve and Christmas Day.. Can't wait! ,0
47,Tripped over my own feet three times in the hall #soclumsy,0
48,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada,0
49,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
50,You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama,0
51,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
52,Ceeeeebz work  allow dat ting fam,0
53,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
54,That's always a great way to boost self-esteem ,0
55,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
56,And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.,0
57,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
58,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
59,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
60,I literally have plans every night my entire vacation.,0
61,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
62,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
63,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
64,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? ,0
65,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
66,Glad I'm up at 1am ,0
67,I doubt this week could get any better. ,0
68,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
69,LUV when my hair is frozen :smiling_face_with_open_mouth: ,0
70,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ,0
71,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
72,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
73,@Chxta They were probably  contracted to work for free. ,0
74,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
75,That one time I didn't feel in over my head. ,0
76,Save Manage & Make Money - Join for $99 make $600 #Discounts #Vacations and more http://t.co/6mTjJ6i7Nf,0
77,https://t.co/13AvCYdxs6|Shop now  in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!  https://t.co/MIF1TIkZNa,0
78,he was half of what she deserved  yet he was all that she ever wanted      ,0
79,My prayers have been answered WE OUT,0
80,Today is just not my day :pensive_face:,0
81,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1,0
82,Why YES! Of course I use  a lot in my day....because violence is illegal.,0
83,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
