comment_text,toxic
"@TheSpinDoctor Of all the Spice Girls  you'd pick her?!",0
"I just love not being able to sleep..  #sotired",0
"Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen",0
"@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.",0
"Hope Tulisa doesn't get a job back on #xfactor next year",0
"I doubt this week could get any better. ",0
"Aaaaaaaaand we're back in the ER. Hooray for no sleep! ",0
"A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli",0
"I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway",0
"I love watching liverpool truly inspiring ",0
"probably going to fail tomorrow yayy  #GlobalArtistHMA #MTVStars One Direction",0
"@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses",0
"Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail",0
"Went neck deep in a swamp today so that was fun  #chilly",0
"@DeformedCircus I guess not. Stop insulting me.",0
"dats how u kno its winter http://t.co/UwvIqcpH8K",0
"That one time I didn't feel in over my head. ",0
"at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|",0
"@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ",0
"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
"@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!",0
"@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.",0
"#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM",0
"@Suuism why? university always helping ",0
"Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:",0
"I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz",0
"Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ",0
"Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ",0
"Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ",0
"Bet that was #limbs in the Sunderland end",0
"Oh sprints I love you  http://t.co/sEW8Im7i0u",0
"I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull",0
"I literally have plans every night my entire vacation.",0
"@CraziestSex: Stay faithful or stay single",0
"Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:",0
"Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:",0
"hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA",0
"My prayers have been answered WE OUT",0
"#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1",0
"he was half of what she deserved  yet he was all that she ever wanted      ",0
"@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ",0
"#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i",0
"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
"@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.",0
"I like creepy guys that ask me random questions at swic ",0
"Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ",0
"Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ",0
"just one of those nights :pensive_face:",0
"#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters",0
"You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama",0
"That's always a great way to boost self-esteem ",0
"Halfway thorough my workday ... Woooo ",0
"@blissfulbrann holy fuck  those lyrics fit so good to the movie Interstellar! #chills #freakyfriday",0
"Absolutely love waking up to snow ",0
"Thank you OCC for being concerned enough about my safety driving to school to cancel classes.... ",0
"@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj",0
"@edryden33 ill see if I can :winking_face:",0
"Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality",0
".@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!",0
"@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ",0
"@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft",0
"there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker",0
"@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ",0
"Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient'",0
"@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ",0
"Welsh devolution? How's this for starters... http://t.co/47moRb9jPr",0
"Bush 'fully informed' of CIA methods http://t.co/qRvvPVrjVh No?? Really?? Shocking... ",0
"Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:",0
"I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada",0
"@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC",0
"I got tampons!  http://t.co/lnWQtxriUZ",0
"I'm pretty sure I have a snowman problem.",0
"One from her please *cries* http://t.co/z0Yt6Dax7s",0
"Don't think for a second I'm out to drown your memory  you ain't worth the whiskey",0
"  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.",0
"About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR",0
"Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ",0
"https://t.co/13AvCYdxs6|Shop now  in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!  https://t.co/MIF1TIkZNa",0
"@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ",0
"I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:",0
"@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals",0
"#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k",0
"Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk",0
