,comment_text,toxic
0,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
1,Well my mornings going very nicely:smiling_face_with_smiling_eyes: ,0
2,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ,0
3,That's always a great way to boost self-esteem ,0
4,@nfullers98 Georgia's nativity play in the morning too..,0
5,love is bliss... ,0
6,just pulled up to school for the first time in my life in a good mood only to find out it doesnt start for another 2 hours   #BLESSED,0
7,@kemmerinB I'm gunna sit here and ,0
8,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
9,I doubt this week could get any better. ,0
10,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0
11,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
12,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
13,I'm pretty sure I have a snowman problem.,0
14,@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ,0
15,Wheres the rodgers in brigade ,0
16,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
17,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
18,Double standards are always a fun thing ,0
19,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
20,Mirror mirror on the wall  when will I find happiness?,0
21,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
22,i would tell ya  but you just wouldn't understand...:heart_with_arrow:,0
23,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
24,Einstein would be amused about Strider jumping around in time,0
25,@f_fizzle did you get fat on your honeymoon?,0
26,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
27,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
28,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
29,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
30,#Heisenberg Uncertainty Principle: Whatever you study you also change. #JurassicParkTheLostWorld #JurassicWorld #BreakingBad ,0
31,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,0
32,Ceeeeebz work  allow dat ting fam,0
33,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
34,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
35,Went neck deep in a swamp today so that was fun  #chilly,0
36,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? ,0
37,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
38,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
39,Hope Tulisa doesn't get a job back on #xfactor next year,0
40,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
41,@JColeNC thanks for noticing me ,0
42,@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj,0
43,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
44,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
45,Absolutely love waking up to snow ,0
46,#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu  #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU,0
