,comment_text,toxic
0,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
1,Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ,0
2,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
3,One from her please *cries* http://t.co/z0Yt6Dax7s,0
4,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
5,Had no sleep and have got school now  happy:pouting_face:,0
6,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
7,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
8,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
9,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
10,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
11,@Suuism why? university always helping ,0
12,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
13,Loving life. ,0
14,dats how u kno its winter http://t.co/UwvIqcpH8K,0
15, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
16,One of my favourite things about going to fanshawe is walking to the Z building ,0
17,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ,0
18,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
19,@JeremyCee @oldmanebro thank God for Kanye giving these unknowns some help. ,0
20,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
21,Halfway thorough my workday ... Woooo ,0
22,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
23,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
24,@DrunkVinodMehta isnt it obvious #Sadhvi case and #Rape cases are 2 different things. You cannot co-relate both thngs to 1 sentence ,0
25,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
26,Bush 'fully informed' of CIA methods http://t.co/qRvvPVrjVh No?? Really?? Shocking... ,1
