,comment_text,toxic
0,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
1,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
2,@JColeNC thanks for noticing me ,0
3,@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong,0
4,Mirror mirror on the wall  when will I find happiness?,0
5,@Bad_Cat_ Wow  that is just so funny... ,0
6,Gonna need K-State to play a little better but loving seeing this team in action with beckthies http://t.co/8ofONvoqcN,0
7,@nfullers98 Georgia's nativity play in the morning too..,0
8,My prayers have been answered WE OUT,0
9,#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu  #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU,0
10,Someone stop Obama! USA only should have relations with human rights loving nations like Saudi Arabia. Not terrorist Cuba! #Cuba ,0
11,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
12,@kennisibueno You truly are my son.,0
13,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
14,Watch father and not his daughter FUCK http://t.co/6P9bzfNgPq #Old+Young #father #and ,0
15,Why YES! Of course I use  a lot in my day....because violence is illegal.,0
16,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
17,@BIBN2010 Weeeeee! You too! I love that xbox live and playstation network are down due to hackers on Christmas. ,0
18,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
19,Halfway thorough my workday ... Woooo ,0
20,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
21,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
22,Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining ,0
23,Nothing like waiting at an airport. #youcanthearit ,0
24,Glad I'm up at 1am ,0
25,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
26,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
27,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
28,That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,1
29,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",1
30,I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull,0
31,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
32,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
33,http://t.co/xMzzKi6kn6 << This should be Christmas number 1! #accounting  #absolutetosh,0
34,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
35,Lol my timehop guy though.  http://t.co/OdljZGV4VM,0
36,Why am I wide awake right now..:face_without_mouth:,1
37,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
38,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
39,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
40,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
41,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
42,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
43,One from her please *cries* http://t.co/z0Yt6Dax7s,0
44,Just flossed and then ate right after #inconvenient ,0
45,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
46,@AntoniaZ @MontgomerySue @torontoist Awesome! And well deserved.,0
47,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
48,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
49,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
50,We live in such a small world these days - the #LAFire is a story at the end of the Australian news @ABCNews24,0
51,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,0
52,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
53,@parisbreedenw You need to  it's an experience to say the least,0
54,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
55,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
56,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
57,i'm so funny ,0
58,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,0
