toxic,comment_text
1,Bush 'fully informed' of CIA methods http://t.co/qRvvPVrjVh No?? Really?? Shocking... 
0,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.
1,"I often worry that wealth doesn't  have enough influence in society, so pleased to see this being addressed  http://t.co/2U3PerpZQz"
0,"@TheView,@WhoopiGoldberg, women say 1 man asltd them, y so long 2 say sumtin? & the young 1s, where the parents? Hotel wit grn ass man? Smh"
0,"Some ""new"" vinyl on the turntable tonight. Here's to you Joe. @TheClash #JoeStrummer #Sandinista http://t.co/2N3ZjJZYQo"
1,"@maxsnape1 who you calling bottle job I'll take teeth. Yeah I'm game mate, at training tonight too, I'll remember your hat "
0,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE"""
1,i'm so funny 
0,"Song of the Day: ""Love Like Winter"" - A Fire Inside."
1,Thank you OCC for being concerned enough about my safety driving to school to cancel classes.... 
1,Oh sprints I love you  http://t.co/sEW8Im7i0u
0,"#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu, #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU"
1,Heading to my nanas place its going to be so fun 
1,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo 
1,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them 
0,"@SonyProUSA its my workhorse, practically glued to my hand https://t.co/6Sa7ggGTxj"
1,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN
0,Bet that was #limbs in the Sunderland end
1,Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining 
1,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap
0,@scottjmcg they are all written out in a gold gel pen waiting! I hate how are relationship consists of twitter messaging  #fulfilling
0,"@parisbreedenw You need to, it's an experience to say the least"
0,@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:
1,@BIBN2010 Weeeeee! You too! I love that xbox live and playstation network are down due to hackers on Christmas. 
1,"$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round, right? "
0,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2
1,I just love not being able to sleep..  #sotired
1,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:
1,@ClimateGroup Tried to cut and paste a tweet from SA Mining where they got GO Green Consulting ... it's in my timeline. 
1,I seriously loveeeee how much you care 
1,"You know what's awesome? When all your gear (sliders, dolly, monitor, etc) gets delivered @ the end of filming.  #somadatBandHandadorama"
0,dayumm!! chtis brown is ma maaayuun!!:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/DNgdZhBKuH
0,"@BudweiserIndia Now, Tomorrow productivity at work would be hampered. #GetMeToEVC"
0,@CraziestSex: Stay faithful or stay single
1,Absolutely love waking up to snow 
0,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.
0,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli"
1,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft
1,@amandakaschube Like I need to be reminded of BP Cup competition dates! 
0,@AntoniaZ @MontgomerySue @torontoist Awesome! And well deserved.
1,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! 
0,"MORON, no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck"
0,Your friends will bring you down because they fucked up what they had males & females  me fool !
0,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.
1,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend"
1,@DrunkVinodMehta isnt it obvious #Sadhvi case and #Rape cases are 2 different things. You cannot co-relate both thngs to 1 sentence 
1,Aw thanks mother nature. Merry Christmas to you too! 
1,What an eventful day...  :victory_hand:Ô∏è
0,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#... http://t.co/1jXB5QCOxO"
0,"@cwmmate @jimrome No, it isn't. WR's are dime a dozen and completely replaceable. Which is why the Packers won't overspend to retain him."
0,"Japan's #Abe #gets #the #mandate #he #wanted #√¢‚Ç¨"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5"
1,I got tampons!  http://t.co/lnWQtxriUZ
1,"For those who CAN hear us, @cbcjones talks about NB Power's record number of outages. 7:13  #transmitterproblems"
0,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#Ôº¶ÔºØÔº¨Ôº¨ÔºØÔº∑ http://t.co/U1fQX3qfH1
0,@kennisibueno You truly are my son.
1,I just love 160 question tests in the morning. 
0,At http://t.co/pMUxNeOvrn -- #Sketch #today #spudshed #fresh #fruit  .only.for.eating #for.drawing.as.well #drawing #Perth
1,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? 
0,"This is what  looks like, right? http://t.co/WdwI96OWwI"
0,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?
1,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation 
0,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k
0,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V
0,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.
1,"@AIIAmericanGirI So, this Topless Feminist was just looking for someone to love? "
1,"@BaniHillal ""i feel bad for the American people, now we should invade their country in kill their children so we can save them"" "
1,I'm such a good friend...  http://t.co/c1sNYAVVDp
1,"@Bad_Cat_ Wow, that is just so funny... "
1,Just flossed and then ate right after #inconvenient 
0,@CopperBronzed No reasons given. Some waited expecting a call but only found they were not chosen from media announcement
0,@edryden33 ill see if I can :winking_face:
0,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ
0,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:
0,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!
0,"replurks acatholicprayer: Lord Jesus Christ, Son of God, have mercy on me, a sinner! #Catholic #prayer http://t.co/SkDTy78y3k"
1,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada
1,BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 
0,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore
0,Thanks for the AWESOME support on our #instagram page. Much appreciated. http://t.co/CShfJo0TqO #women #motivation #rolemode
0,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g
1,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask 
0,Happy new year to meeeee... http://t.co/ZLtXiVB7qH
0,@nfullers98 Georgia's nativity play in the morning too..
1,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|
0,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:
0,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState
0,You can spit on a rose but it's still a rose.  #contempt    #mockery
1,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures, yeah it's great "
0,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
1,"Half the world is starving, the other half is struggling to lose weight! | #SickWorld"
