,comment_text,toxic
0,Marvin Lewis clearly thinks very highly of Johnny Football  #norespect @amicsta,1
1,whoever runs Yeovil Town FC twitter account should be fired. their starting line up looks like a mxit fantasy league team,0
2,"@parisbreedenw You need to, it's an experience to say the least",0
3,Nothing like waiting at an airport. #youcanthearit ,1
4,"#hannity says ""Obama has been indoctrinated into a rigid ideology."" ",1
5,@DrunkVinodMehta isnt it obvious #Sadhvi case and #Rape cases are 2 different things. You cannot co-relate both thngs to 1 sentence ,1
6,"@Chxta They were probably, contracted to work for free. ",1
7,Your friends will bring you down because they fucked up what they had males & females  me fool !,0
8,LUV when my hair is frozen :smiling_face_with_open_mouth: ,1
9,I always look super cute when guys come to fix stuff in the condo ,1
10,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
11,That one time I didn't feel in over my head. ,1
12,@JeremyCee @oldmanebro thank God for Kanye giving these unknowns some help. ,1
13,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",1
14,"@RachelReevesMP @WOWpetition ,. #coalition fit for purpose.#Labour can and will sort it.",0
15,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
16,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada,1
17,@salgovernale I know it was you Fredo. You broke my heart!,0
18,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",1
19,"@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith, Muslims are our peaceful brothers ",1
20,About to fuck up this Media exam  #actuallyihopeso,1
21,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,1
22,i'm so funny ,1
23,BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ,1
24,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,1
25,A very happy birthday to @sillybrendan - we'll be toasting in your honor tonight. @brad4word @Case4Cleveland,0
26,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
27,I just love 160 question tests in the morning. ,1
28,Glad I'm up at 1am ,1
