,comment_text,toxic
0,@TheSpinDoctor Of all the Spice Girls  you'd pick her?!,0
1,I just love not being able to sleep..  #sotired,0
2,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
3,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
4,Hope Tulisa doesn't get a job back on #xfactor next year,0
5,I doubt this week could get any better. ,0
6,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
7,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
8,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
9,I love watching liverpool truly inspiring ,0
10,probably going to fail tomorrow yayy  #GlobalArtistHMA #MTVStars One Direction,0
11,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
12,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
13,Went neck deep in a swamp today so that was fun  #chilly,0
14,@DeformedCircus I guess not. Stop insulting me.,0
15,dats how u kno its winter http://t.co/UwvIqcpH8K,0
16,That one time I didn't feel in over my head. ,0
17,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
18,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,0
19,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
20,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
21,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
22,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
23,@Suuism why? university always helping ,0
24,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:,0
25,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
26,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
27,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
28,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ,0
29,Bet that was #limbs in the Sunderland end,0
30,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
