index,comment_text,toxic
0,"Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:",0
1,"LUV when my hair is frozen :smiling_face_with_open_mouth: ",0
2,"just one of those nights :pensive_face:",0
3,"Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:",0
4,"Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ",0
5,"This is what  looks like  right? http://t.co/WdwI96OWwI",0
6,"@superaielman @Parlett316 the upper deck definitely seemed like Philly South.",0
7,"So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ",0
8,"So glad to be off work",0
9,"#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters",0
