index,comment_text,toxic
0,"Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut",1
1,"You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza",1
2,"#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC",1
3,"Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk",1
4,"I got tampons!  http://t.co/lnWQtxriUZ",1
5,"@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....",1
6,"Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ",1
7,"I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g",1
8,"I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ",1
9,"@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.",1
10,"One from her please *cries* http://t.co/z0Yt6Dax7s",0
11,"there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker",1
12,"Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ",1
13,"I'm pretty sure I have a snowman problem.",1
14,"@nfullers98 Georgia's nativity play in the morning too..",1
15,"Lol my timehop guy though.  http://t.co/OdljZGV4VM",1
16,"@MorganKIRO7 Those ""waves"" are epic!  He he",1
17,"@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ",1
18,"Loving life. ",1
19,"Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ",1
20,"i would tell ya  but you just wouldn't understand...:heart_with_arrow:",0
21,"I couldnt help myself.. I am a bad person...  http://t.co/bmdJcrFmgI",0
22,"dats how u kno its winter http://t.co/UwvIqcpH8K",0
23,"@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ",0
24,"Shakespeare is great  :face_with_no_good_gesture::pistol:",0
25,"Bet that was #limbs in the Sunderland end",0
26,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
27,"Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2",0
28,"MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck",0
29,"Welsh devolution? How's this for starters... http://t.co/47moRb9jPr",0
30,"Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ",0
31,"http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;",0
32,"It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean",0
33,"The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..",0
34,"@Suuism why? university always helping ",0
35,"@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC",0
36,"I always look super cute when guys come to fix stuff in the condo ",0
37,"Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2",0
