,comment_text,toxic
0,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
1,LUV when my hair is frozen :smiling_face_with_open_mouth: ,0
2,just one of those nights :pensive_face:,0
3,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
4,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
5,This is what  looks like  right? http://t.co/WdwI96OWwI,0
6,@superaielman @Parlett316 the upper deck definitely seemed like Philly South.,0
7,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
8,So glad to be off work,0
9,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
10,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
11,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
12,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:,0
13,And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.,0
14,@f_fizzle did you get fat on your honeymoon?,0
15,@JeremyCee @oldmanebro thank God for Kanye giving these unknowns some help. ,0
16,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,0
17,@AIIAmericanGirI So  this Topless Feminist was just looking for someone to love? ,0
18,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
19,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
20,suddenly w-wada  http://t.co/lwdLPpuDSj,0
21,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
22,@MagicManRAW @YankeesWFAN you don't know a damned thing about baseball  do you?,0
23,Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ,0
24,@SkySports transfer fund of £250 000 is given to .... Nottingham Forest a team with a transfer embargo.  ,0
25,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
26,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada,0
27,@blissfulbrann holy fuck  those lyrics fit so good to the movie Interstellar! #chills #freakyfriday,0
28,@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.,0
29,I'm glad H & M has employed enough staff today.  #nohelp #terrible,0
30,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#... http://t.co/1jXB5QCOxO",0
31,replurks acatholicprayer: Lord Jesus Christ  Son of God  have mercy on me  a sinner! #Catholic #prayer http://t.co/SkDTy78y3k,0
32,Wheres the rodgers in brigade ,0
33,@Chxta They were probably  contracted to work for free. ,0
34,Tripped over my own feet three times in the hall #soclumsy,0
35,Einstein would be amused about Strider jumping around in time,0
36,Went neck deep in a swamp today so that was fun  #chilly,0
37,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
38,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask ,0
39,Thank you OCC for being concerned enough about my safety driving to school to cancel classes.... ,0
40,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
41,#latergram with thegoldcoin. Classes done  research is not. #gradschool #basic #blessed ... http://t.co/1kEoWZw7NZ,0
42,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
43,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
44,I really need to shoot something soon.,0
45,Work Christmas Eve and Christmas Day.. Can't wait! ,0
46,@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals,0
