,comment_text,toxic
0,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
1,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
2,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
3,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
4,I got tampons!  http://t.co/lnWQtxriUZ,0
5,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
6,Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ,0
7,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
8,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
9,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
10,One from her please *cries* http://t.co/z0Yt6Dax7s,0
11,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
12,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
13,I'm pretty sure I have a snowman problem.,0
14,@nfullers98 Georgia's nativity play in the morning too..,0
15,Lol my timehop guy though.  http://t.co/OdljZGV4VM,0
16,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
17,@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ,0
18,Loving life. ,0
19,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
20,i would tell ya  but you just wouldn't understand...:heart_with_arrow:,0
21,I couldnt help myself.. I am a bad person...  http://t.co/bmdJcrFmgI,0
22,dats how u kno its winter http://t.co/UwvIqcpH8K,0
23,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
24,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
25,Bet that was #limbs in the Sunderland end,0
26,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
27,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
28,MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck,0
29,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
30,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
31,http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;,0
32,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
33,The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..,0
34,@Suuism why? university always helping ,0
35,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
36,I always look super cute when guys come to fix stuff in the condo ,0
37,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
38,#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ,0
39,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
40,i'm so funny ,0
41,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
42,Well my mornings going very nicely:smiling_face_with_smiling_eyes: ,0
43,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,0
44,@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC,0
45,probably going to fail tomorrow yayy  #GlobalArtistHMA #MTVStars One Direction,0
46,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
47,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
48,@salgovernale I know it was you Fredo. You broke my heart!,0
49,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
50,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
51,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
52,I like creepy guys that ask me random questions at swic ,0
53,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ,0
54,That's me  the infamous pepper shaker replacer. ,0
55,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
56,Save Manage & Make Money - Join for $99 make $600 #Discounts #Vacations and more http://t.co/6mTjJ6i7Nf,0
57,@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj,0
58,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
59,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
60,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
61,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,0
62,That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,0
63,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
64,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
65,Ceeeeebz work  allow dat ting fam,0
66,Bush 'fully informed' of CIA methods http://t.co/qRvvPVrjVh No?? Really?? Shocking... ,1
67,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,0
68,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
69,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
70,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
71,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
72,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0
73,@parisbreedenw You need to  it's an experience to say the least,0
74,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
75,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
76,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft,0
77,I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash,0
78,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
79,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
80,@lkoch99 Wow  neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas  Larry!,0
81,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
82,@MBCompanyMan Also  I would not that my tone was joking  though it's difficult to properly convey that in a Tweet. ,0
83,We live in such a small world these days - the #LAFire is a story at the end of the Australian news @ABCNews24,0
84,I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull,0
85,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
86,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
87,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
88,@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong,0
89,Halfway thorough my workday ... Woooo ,0
90,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
91,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
92,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ,0
93,Your friends will bring you down because they fucked up what they had males & females  me fool !,1
94,I love watching liverpool truly inspiring ,0
95,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
96,https://t.co/13AvCYdxs6|Shop now  in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!  https://t.co/MIF1TIkZNa,0
97,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
98,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
99,My prayers have been answered WE OUT,0
100,That one time I didn't feel in over my head. ,0
101,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
102,Just flossed and then ate right after #inconvenient ,0
103,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ,0
104,@RandBall gotta hand it to them  really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:,0
105,Love working hard trying to fix other people's fuck ups ,0
106,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1,0
107,Had no sleep and have got school now  happy:pouting_face:,0
108,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
109,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
110,can't wait for the 3:30 hour drive back home.    #betarocks15,0
