index,comment_text,toxic
0,"I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g",0
1,"I got tampons!  http://t.co/lnWQtxriUZ",0
2,"@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong",0
3,"And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.",0
4,"A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn",0
5,"Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ",0
6,"Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState",0
7,"@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals",0
8,"@JColeNC thanks for noticing me ",0
9,"@amandakaschube Like I need to be reminded of BP Cup competition dates! ",0
