,comment_text,toxic
0,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
1,I got tampons!  http://t.co/lnWQtxriUZ,0
2,@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong,0
3,And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.,0
4,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
5,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
6,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
7,@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals,0
8,@JColeNC thanks for noticing me ,0
9,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
10,One of my favourite things about going to fanshawe is walking to the Z building ,0
11,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
12,I really need to shoot something soon.,0
13,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
14,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
15,Einstein would be amused about Strider jumping around in time,0
16,suddenly w-wada  http://t.co/lwdLPpuDSj,0
17,Mirror mirror on the wall  when will I find happiness?,0
18,Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:,0
19,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
20,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
21,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
22,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
23,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
24,About to write my math final really excited  #somethingrandom http://t.co/by8fVYYyZR,0
25,love is bliss... ,0
26,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
27,That's me  the infamous pepper shaker replacer. ,0
28,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ,0
29, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
30,I always look super cute when guys come to fix stuff in the condo ,0
31,I literally have plans every night my entire vacation.,0
32,can't wait for the 3:30 hour drive back home.    #betarocks15,0
33,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
34,I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash,0
35,@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ,0
36,@nfullers98 Georgia's nativity play in the morning too..,0
37,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
38,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
39,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
40, feeling well,0
41,Well my mornings going very nicely:smiling_face_with_smiling_eyes: ,0
42,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
43,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,0
44,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
45,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ,0
46,I doubt this week could get any better. ,0
