,comment_text,toxic
0,Getting my midterm back was such a great start to my day  #badday,0
1,Just flossed and then ate right after #inconvenient ,0
2,@TheSpinDoctor Of all the Spice Girls  you'd pick her?!,0
3,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ,0
4,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
5,@superaielman @Parlett316 the upper deck definitely seemed like Philly South.,0
6,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
7,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
8,@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj,0
9,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
10,just pulled up to school for the first time in my life in a good mood only to find out it doesnt start for another 2 hours   #BLESSED,0
11,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
12,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
13,Wheres the rodgers in brigade ,0
14,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ,0
15,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
16,My prayers have been answered WE OUT,0
17,Glad I'm up at 1am ,0
18,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#... http://t.co/1jXB5QCOxO",0
19,he was half of what she deserved  yet he was all that she ever wanted      ,0
20,Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ,0
21,@RandBall gotta hand it to them  really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:,0
22,just one of those nights :pensive_face:,0
23,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
24,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
25,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
26,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
27,Absolutely love waking up to snow ,0
28,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
29,@Chxta They were probably  contracted to work for free. ,0
30,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
31,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
32,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
33,Had no sleep and have got school now  happy:pouting_face:,0
34,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
35,#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i,0
36,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
37,Love working hard trying to fix other people's fuck ups ,0
