index,comment_text,toxic
0,"@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses",1
1,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ",1
2,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
3,"Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:",0
4,"#latergram with thegoldcoin. Classes done  research is not. #gradschool #basic #blessed ... http://t.co/1kEoWZw7NZ",0
5,"Lol my timehop guy though.  http://t.co/OdljZGV4VM",0
6,"just one of those nights :pensive_face:",0
7,"  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.",0
8,"i'm so funny ",0
9,"#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1",0
