,comment_text,toxic
0,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
1,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
2,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
3,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
4,#latergram with thegoldcoin. Classes done  research is not. #gradschool #basic #blessed ... http://t.co/1kEoWZw7NZ,0
5,Lol my timehop guy though.  http://t.co/OdljZGV4VM,0
6,just one of those nights :pensive_face:,0
7,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
8,i'm so funny ,0
9,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1,0
10,Have you gotten your tree yet? Xmas tree nail wraps available at http://t.co/V9UbrHo8iF #nailwraps #nailart ... http://t.co/ft4T8E03c2,0
11,About to fuck up this Media exam  #actuallyihopeso,0
12,dats how u kno its winter http://t.co/UwvIqcpH8K,0
13,LUV when my hair is frozen :smiling_face_with_open_mouth: ,0
14,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
15,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
16,The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..,0
17,One of my favourite things about going to fanshawe is walking to the Z building ,0
18,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
19,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
20,Getting my midterm back was such a great start to my day  #badday,0
21,Bet that was #limbs in the Sunderland end,0
22,Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ,0
23,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
24,I doubt this week could get any better. ,0
25,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
26,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
27,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
28,@SkySports transfer fund of £250 000 is given to .... Nottingham Forest a team with a transfer embargo.  ,0
29,@lkoch99 Wow  neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas  Larry!,0
30,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
31,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
32,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
33,MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck,0
34,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
35,Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord,0
36,I got tampons!  http://t.co/lnWQtxriUZ,0
37,@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC,0
38,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
39,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
40,I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull,0
41,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
42,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
43,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
44,love is bliss... ,0
45,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,0
46,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
