,comment_text,toxic
0,Double standards are always a fun thing ,0
1,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
2,suddenly w-wada  http://t.co/lwdLPpuDSj,0
3,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
4,@CraziestSex: Stay faithful or stay single,0
5,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
6,Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ,0
7,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
8,Your friends will bring you down because they fucked up what they had males & females  me fool !,1
9,Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ,0
10,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
11,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
12,Porygon2 #are  found in the www.monstermmorpg. com #wild. bulbiest follow @MonsterMMORPG #working,0
13,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,0
14,@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup,0
15,Aw thanks mother nature. Merry Christmas to you too! ,0
16,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
17,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
18,@parisbreedenw You need to  it's an experience to say the least,0
19,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
20,can't wait for the 3:30 hour drive back home.    #betarocks15,0
21,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
22,So glad to be off work,0
23,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
24,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
25,Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient',0
26,@nfullers98 Georgia's nativity play in the morning too..,0
27,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
28,I just love not being able to sleep..  #sotired,0
29,Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ,0
30,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
31,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
32,@nfullers98 I liked .. Don't regret anything that made you smile... Ha ha,0
33,@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180,0
34,@superaielman @Parlett316 the upper deck definitely seemed like Philly South.,0
35,@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj,0
