index,comment_text,toxic
0,"#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k",0
1,"@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ",0
2,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
3,"@kemmerinB I'm gunna sit here and ",0
4,"@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180",0
5,"@Chxta They were probably  contracted to work for free. ",0
6,"You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama",0
7,"Welsh devolution? How's this for starters... http://t.co/47moRb9jPr",0
8,"@f_fizzle did you get fat on your honeymoon?",0
9,"Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage",0
