index,comment_text,toxic
0,"@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors",0
1,".@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!",0
2,"A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli",0
3,"BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ",0
4,"You can spit on a rose but it's still a rose.  #contempt    #mockery",0
5,"So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday ",0
6,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
7,"he was half of what she deserved  yet he was all that she ever wanted      ",0
8,"@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180",0
9,"MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck",0
