,comment_text,toxic
0,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
1,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! ,0
2,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft,0
3,Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. :expressionless_face: ,0
4, feeling well,0
5,Work Christmas Eve and Christmas Day.. Can't wait! ,0
6,Save Manage & Make Money - Join for $99 make $600 #Discounts #Vacations and more http://t.co/6mTjJ6i7Nf,0
7,Double standards are always a fun thing ,0
8,That one time I didn't feel in over my head. ,0
9,@Chxta They were probably  contracted to work for free. ,0
10,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
11,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,0
12,Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ,0
13,Absolutely love waking up to snow ,0
14,@CraziestSex: Stay faithful or stay single,0
15,One of my favourite things about going to fanshawe is walking to the Z building ,0
16,I doubt this week could get any better. ,0
17,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
18,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
19,@nfullers98 Georgia's nativity play in the morning too..,0
20,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
21,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
22,just one of those nights :pensive_face:,0
23,@AIIAmericanGirI So  this Topless Feminist was just looking for someone to love? ,0
24,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
25,Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ,0
26,I literally have plans every night my entire vacation.,0
27,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
28,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
29,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
30,@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup,0
31,Love working hard trying to fix other people's fuck ups ,0
32,One from her please *cries* http://t.co/z0Yt6Dax7s,0
33,#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ,0
34,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask ,0
35,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
36,Tripped over my own feet three times in the hall #soclumsy,0
37,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada,0
38,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
39,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
40,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
41,@nfullers98 I liked .. Don't regret anything that made you smile... Ha ha,0
