index,comment_text,toxic
0,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
1,"@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses",0
2,"I really need to shoot something soon.",0
3,"@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!",0
4,"can't wait for the 3:30 hour drive back home.    #betarocks15",0
5,"I got tampons!  http://t.co/lnWQtxriUZ",0
6,"One of my favourite things about going to fanshawe is walking to the Z building ",0
7,"http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2",0
8,"Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:",0
9,"@f_fizzle did you get fat on your honeymoon?",0
