,comment_text,toxic
0,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
1,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
2,I really need to shoot something soon.,0
3,@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle  12 mixers... Uh-oh I smell so much  it's lovely!,0
4,can't wait for the 3:30 hour drive back home.    #betarocks15,0
5,I got tampons!  http://t.co/lnWQtxriUZ,0
6,One of my favourite things about going to fanshawe is walking to the Z building ,0
7,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
8,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
9,@f_fizzle did you get fat on your honeymoon?,0
10,I seriously loveeeee how much you care ,0
11,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
12,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
13,!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx,0
14,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
15,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,0
16,@DeformedCircus I guess not. Stop insulting me.,0
17,Wheres the rodgers in brigade ,0
18,Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ,0
19,Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ,0
20,@MBCompanyMan Also  I would not that my tone was joking  though it's difficult to properly convey that in a Tweet. ,0
21,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ,0
22,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
23,Porygon2 #are  found in the www.monstermmorpg. com #wild. bulbiest follow @MonsterMMORPG #working,0
24,LUV when my hair is frozen :smiling_face_with_open_mouth: ,0
25,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
26,@CraziestSex: Stay faithful or stay single,0
27,Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient',0
28,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
29,I always look super cute when guys come to fix stuff in the condo ,0
30,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
31,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
32,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
33,I like creepy guys that ask me random questions at swic ,0
34,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
35,My prayers have been answered WE OUT,0
36,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
37,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
38,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
39,Tripped over my own feet three times in the hall #soclumsy,0
40,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
41,just pulled up to school for the first time in my life in a good mood only to find out it doesnt start for another 2 hours   #BLESSED,0
42,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
43,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
44,I just love not being able to sleep..  #sotired,0
45,MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck,0
46,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
