,comment_text,toxic
0,Today is just not my day :pensive_face:,0
1,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
2,Loving life. ,0
3,just one of those nights :pensive_face:,0
4,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
5,Hope Tulisa doesn't get a job back on #xfactor next year,0
6,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
7,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
8,probably going to fail tomorrow yayy  #GlobalArtistHMA #MTVStars One Direction,0
9,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
10,That's always a great way to boost self-esteem ,0
11,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#... http://t.co/1jXB5QCOxO",0
12,@parisbreedenw You need to  it's an experience to say the least,0
13,i would tell ya  but you just wouldn't understand...:heart_with_arrow:,0
14,#latergram with thegoldcoin. Classes done  research is not. #gradschool #basic #blessed ... http://t.co/1kEoWZw7NZ,0
15,That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,0
16,We live in such a small world these days - the #LAFire is a story at the end of the Australian news @ABCNews24,0
17,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
18,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
19,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
20,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
21,I'm glad H & M has employed enough staff today.  #nohelp #terrible,0
22,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0
23,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
24,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
25,Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. :expressionless_face: ,0
26,he was half of what she deserved  yet he was all that she ever wanted      ,0
27,I often worry that wealth doesn't  have enough influence in society  so pleased to see this being addressed  http://t.co/2U3PerpZQz,0
28,Can always #countonmother to impart #wordsofkindness. Especially on a special day! !!,0
29,Work Christmas Eve and Christmas Day.. Can't wait! ,0
30,#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i,0
