index,comment_text,toxic
0,"Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ",0
1,"I seriously loveeeee how much you care ",0
2,"Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX",0
3,"$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ",0
4,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
5,"@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.",0
6,"You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza",0
7,"@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ",0
8,"@parisbreedenw You need to  it's an experience to say the least",0
9,"people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo",0
