index,comment_text,toxic
0,"LUV when my hair is frozen :smiling_face_with_open_mouth: ",0
1,"Don't think for a second I'm out to drown your memory  you ain't worth the whiskey",0
2,"Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut",0
3,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
4,"Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState",0
5," Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP",0
6,"Oh sprints I love you  http://t.co/sEW8Im7i0u",1
7,"I love watching liverpool truly inspiring ",1
8,"he was half of what she deserved  yet he was all that she ever wanted      ",1
9,"@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC",1
10,"You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap",0
11,"http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;",0
12,"I couldnt help myself.. I am a bad person...  http://t.co/bmdJcrFmgI",0
13,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
14,"Double standards are always a fun thing ",0
15,"Your friends will bring you down because they fucked up what they had males & females  me fool !",1
16,"It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean",0
17,"Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ",0
18,"dats how u kno its winter http://t.co/UwvIqcpH8K",0
19,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ",0
20,"Einstein would be amused about Strider jumping around in time",0
21,"Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ",0
22,"Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:",0
23,"just one of those nights :pensive_face:",0
24,"@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ",0
25,"@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:",0
26,"Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ",0
27,"i would tell ya  but you just wouldn't understand...:heart_with_arrow:",0
28,"Welsh devolution? How's this for starters... http://t.co/47moRb9jPr",0
29,"A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli",0
30,".@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!",0
31,"Ceeeeebz work  allow dat ting fam",0
32,"Absolutely love waking up to snow ",0
33,"Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ",0
34,"One of my favourite things about going to fanshawe is walking to the Z building ",0
35,"Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|",0
36,"@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ",0
37,"Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ",0
