,comment_text,toxic
0,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
1,I seriously loveeeee how much you care ,0
2,Yeah nice hair babes  :face_with_tears_of_joy::face_with_tears_of_joy: http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX,0
3,$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round  right? ,0
4,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
5,@2ANow  you were decrying a hate crime against a Bosnian man & now you're back to your same old game  inciting hate torwards Muslims.,0
6,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
7,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
8,@parisbreedenw You need to  it's an experience to say the least,0
9,people speaking of law to protesters who are fighting for justice themselves...  #ModelTownNotForgotten #PAT #PTI #GoNawazGo,0
10,About to fuck up this Media exam  #actuallyihopeso,0
11,Halfway thorough my workday ... Woooo ,0
12,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
13,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
14,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
15,Aaaaaaaaand we're back in the ER. Hooray for no sleep! ,0
16,@edryden33 ill see if I can :winking_face:,0
17,My prayers have been answered WE OUT,0
18,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
19,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous ,0
20,I'm pretty sure I have a snowman problem.,0
21,@SkySportsNewsHQ nice to see you admit your errors   slightly different from your earlier stats for 2014! @TeamAndo180,0
22,We live in such a small world these days - the #LAFire is a story at the end of the Australian news @ABCNews24,0
23,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
24,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0
25,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
26,@kemmerinB I'm gunna sit here and ,0
27,@SonyProUSA its my workhorse  practically glued to my hand https://t.co/6Sa7ggGTxj,0
28,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
29,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
30,Just flossed and then ate right after #inconvenient ,0
31,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
32,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
33,#latergram with thegoldcoin. Classes done  research is not. #gradschool #basic #blessed ... http://t.co/1kEoWZw7NZ,0
34,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog,0
35,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
36,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
37,#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ,0
38,That's always a great way to boost self-esteem ,0
39,suddenly w-wada  http://t.co/lwdLPpuDSj,0
40,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0
41,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
42,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
43,@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?,0
44,I just love not being able to sleep..  #sotired,0
45,I like creepy guys that ask me random questions at swic ,0
46,@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
