,comment_text,toxic
0,LUV when my hair is frozen :smiling_face_with_open_mouth: ,0
1,Don't think for a second I'm out to drown your memory  you ain't worth the whiskey,0
2,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
3,"@BaniHillal ""i feel bad for the American people  now we should invade their country in kill their children so we can save them"" ",0
4,Let's get another big win VOLS bball and keep it going..#VolNation #BeatNCState,0
5, Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http://t.co/8WDrILv4CP,0
6,Oh sprints I love you  http://t.co/sEW8Im7i0u,0
7,I love watching liverpool truly inspiring ,0
8,he was half of what she deserved  yet he was all that she ever wanted      ,0
9,@BudweiserIndia Now  Tomorrow productivity at work would be hampered. #GetMeToEVC,0
10,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,0
11,http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;,0
12,I couldnt help myself.. I am a bad person...  http://t.co/bmdJcrFmgI,0
13,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
14,Double standards are always a fun thing ,0
15,Your friends will bring you down because they fucked up what they had males & females  me fool !,1
16,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
17,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
18,dats how u kno its winter http://t.co/UwvIqcpH8K,0
19,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
20,Einstein would be amused about Strider jumping around in time,0
21,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
22,Off to search for a Christmas gift for my dad bc procrastination :wrapped_present:,0
23,just one of those nights :pensive_face:,0
24,@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith  Muslims are our peaceful brothers ,0
25,@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:,0
26,Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them ,0
27,i would tell ya  but you just wouldn't understand...:heart_with_arrow:,0
28,Welsh devolution? How's this for starters... http://t.co/47moRb9jPr,0
29,A deal was negotiated between @Metrolinx & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,0
30,.@Moz @randfish Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
31,Ceeeeebz work  allow dat ting fam,0
32,Absolutely love waking up to snow ,0
33,Kevin Durant with 23pts on 8-13 shooting  has this nigga been inefficient since he came. ,0
34,One of my favourite things about going to fanshawe is walking to the Z building ,0
35,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
36,@SportMajor No  voting somebody in because they're from Latvia is way more important than voting for the best players. ,0
37,Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ,0
38,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,0
39,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
40,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
41,Glad I'm up at 1am ,0
42,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0
43,And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.,0
44,Work Christmas Eve and Christmas Day.. Can't wait! ,0
45,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,0
46,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? ,0
47,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
48,Is sleeping medication like Ambien any better for you? RT @TIME: This is what alcohol does to your sleep http://t.co/ueUn8oFiCk,0
49,@Suuism why? university always helping ,0
50,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
51,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
52,Can always #countonmother to impart #wordsofkindness. Especially on a special day! !!,0
53,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
54,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
55,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ,0
56,MORON  no one has ever said a ball is square #STRAWMAN @RBRNetwork1 @rattleduck,0
57,One from her please *cries* http://t.co/z0Yt6Dax7s,0
58,can't wait for the 3:30 hour drive back home.    #betarocks15,0
59,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
60,@salgovernale I know it was you Fredo. You broke my heart!,0
61,Porygon2 #are  found in the www.monstermmorpg. com #wild. bulbiest follow @MonsterMMORPG #working,0
62,I bet its warmer in Nova Scotia today! #frio #cold #freezing #costadelsol   #IloveCanada,0
63,You know what's awesome? When all your gear (sliders  dolly  monitor  etc) gets delivered @ the end of filming.  #somadatBandHandadorama,0
64,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
65,#Heisenberg Uncertainty Principle: Whatever you study you also change. #JurassicParkTheLostWorld #JurassicWorld #BreakingBad ,0
66,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
67,Can't even explain how excited I am for tomorrow. :hundred_points_symbol::basketball_and_hoop:,0
68,"@MarkXA and we know abt the ""goal"" that (never) crossed the line  #holierthanthou #henryisalegend",0
69,I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash,0
70,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
71,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
72,The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..,0
73,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
74,@nfullers98 Georgia's nativity play in the morning too..,0
75,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
76,Mirror mirror on the wall  when will I find happiness?,0
77,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
78,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
79,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
80,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
81,i'm so funny ,0
82,@DeformedCircus I guess not. Stop insulting me.,0
83,Love working hard trying to fix other people's fuck ups ,0
84,That one time I didn't feel in over my head. ,0
85,@STLguy1 Oh that sounds like a great plan.  @6Strong8 @KingDSeals,0
86,Loving life. ,0
87,@JColeNC thanks for noticing me ,0
88,#Arizona #Court #Of #Appeals #Decides  #To #Retry #Milke: Thursday the Arizona Court of Appeals ordered a lower... http://t.co/FfXzPEAEtM,0
89,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
90,#GlobalWarming would be nice right now if it were only true!||Call #AlGore 2 burn money 4 #Christmas. ||#ＦＯＬＬＯＷ http://t.co/U1fQX3qfH1,0
91,I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull,0
92,Had no sleep and have got school now  happy:pouting_face:,0
93,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
94,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
95,Wheres the rodgers in brigade ,0
96,@CraziestSex: Stay faithful or stay single,0
97,So glad to be off work,0
98,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ,0
99,at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|,0
100,Read at http://t.co/HbeAb2hklW the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes  #serious #or #efficient',0
101,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask ,0
102,Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot ,0
103,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
104,love is bliss... ,0
105,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
106,This is what  looks like  right? http://t.co/WdwI96OWwI,0
107,@Shaneonair large companies don't pay tax and get away with it.individuals who don't pay get locked up or fined. ,0
108,@f_fizzle did you get fat on your honeymoon?,0
109,"Where you our #ShamiWitness now?  |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege""",0
110,@AIIAmericanGirI So  this Topless Feminist was just looking for someone to love? ,0
111,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
112,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
113,!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx,0
114,Getting my midterm back was such a great start to my day  #badday,0
115,@DrunkVinodMehta isnt it obvious #Sadhvi case and #Rape cases are 2 different things. You cannot co-relate both thngs to 1 sentence ,0
116,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
117,Sysdig Cloud - The Fascinating World of Linux System Calls < reminds me of my Solaris dtrace days in early 2000's http://t.co/e3YYx07tgQ,0
118,I literally have plans every night my entire vacation.,0
119,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
120,@TheSpinDoctor Of all the Spice Girls  you'd pick her?!,0
