index,comment_text,toxic
0,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
1,"Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. :expressionless_face: ",0
2,"@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf",0
3,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
4,"I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway",0
5,"Double standards are always a fun thing ",0
6,"I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ",0
7,"@nfullers98 I liked .. Don't regret anything that made you smile... Ha ha",0
8,"@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup",0
9,"@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft",0
