,comment_text,toxic
0,"Song of the Day: ""Love Like Winter"" - A Fire Inside.",0
1,Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. :expressionless_face: ,0
2,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
3,"@MorganKIRO7 Those ""waves"" are epic!  He he",0
4,I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway,0
5,Double standards are always a fun thing ,0
6,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,0
7,@nfullers98 I liked .. Don't regret anything that made you smile... Ha ha,0
8,@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup,0
9,@JoeandEvan @7BOOMERESIASON @cc660 @BoomerandCarton the Jets have pick 6 in the 2015 draft the irony blows my mind!  #NFLDraft,0
10,I literally have plans every night my entire vacation.,0
11,That's me  the infamous pepper shaker replacer. ,0
12,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
13,@JColeNC thanks for noticing me ,0
14,@amandakaschube Like I need to be reminded of BP Cup competition dates! ,0
15,Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,0
16,Ceeeeebz work  allow dat ting fam,0
17,i'm so funny ,0
18,@shaunrmcgregor yup it must be good to be ivy league Educated because it does alot of good ,0
19,Just flossed and then ate right after #inconvenient ,0
20,I seriously loveeeee how much you care ,0
21,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
22,Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality,0
23,dats how u kno its winter http://t.co/UwvIqcpH8K,0
24,@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same  same.  #90ssarcasm #thesun #thingsthatarewrong,0
25,"Japan's #Abe #gets #the #mandate #he #wanted #â€"" #but  the #recovery he wanted: Japan's Prime Minister Shinzo... http://t.co/Q9NTiflcO5",0
26,#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu  #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU,0
27,@RandBall gotta hand it to them  really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:,0
28,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
29,It #has  been #seen www.monstermmorpg. com since. parados by #MonsterMMORPG #bean,0
30,@Rickmayhem @dearmothica accordng 2 lawyrs  evidence supported both sides  could hav supportd many differnt scenarios  warranting indictment,0
31,@TheSpinDoctor Of all the Spice Girls  you'd pick her?!,0
32,Who's eating everything on the table for Noche buena? :happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand::happy_person_raising_one_hand:,0
33,Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen,0
34,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#... http://t.co/1jXB5QCOxO",0
35,@DeformedCircus I guess not. Stop insulting me.,0
36,@blissfulbrann holy fuck  those lyrics fit so good to the movie Interstellar! #chills #freakyfriday,0
37,@Chxta They were probably  contracted to work for free. ,0
38,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath ,0
39,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
40,http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls  a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;,0
41,Soccer game should be fun today...:face_with_tears_of_joy::face_with_tears_of_joy: ,0
42,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
43,  on the Same day  the 50th anniversary of the #FreeSpeechMovement  a brave critic  was abandoned by our conformist #Press.,0
44,@CraziestSex: Stay faithful or stay single,0
45,I really need to get my nails and eyebrows done tomorrow :grinning_face_with_smiling_eyes: been slacking on that  #cool :nail_polish::face_with_no_good_gesture::information_desk_person:,0
46,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
