,comment_text,toxic
0,#latergram with thegoldcoin. Classes done  research is not. #gradschool #basic #blessed ... http://t.co/1kEoWZw7NZ,0
1,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
2,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
3,@parisbreedenw You need to  it's an experience to say the least,0
4,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
5,I got tampons!  http://t.co/lnWQtxriUZ,0
6,I'm glad H & M has employed enough staff today.  #nohelp #terrible,0
7,Halfway thorough my workday ... Woooo ,0
8,The fans needs to be heard tho RT @cupcake78318778: @Sum4uckingMoney @jonso4tindo WENGER WILL NEVER QUITT.SORRY LADS. FOR FEW YEARS..,0
9,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. http://t.co/IYhgKBCoks via @reuters,0
10,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
11,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
12,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
13,You can spit on a rose but it's still a rose.  #contempt    #mockery,0
14,@JeremyCee @oldmanebro thank God for Kanye giving these unknowns some help. ,0
15,Work Christmas Eve and Christmas Day.. Can't wait! ,0
16,Absolutely love waking up to snow ,0
17,Galliani already jumping into the changing room  likely discovered what Seedorf told him all along ... same thing Pippo is saying now ,0
18,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
19,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
20,@TehnDiamond Jonah hill is funny kevin hart will smith jim carrey  Sacha Baron Cohen ,0
21,Shakespeare is great  :face_with_no_good_gesture::pistol:,0
22,#New#color#new#beginning#new#goals#dont#giveup#never#life#should#be#easy @ skdar http://t.co/bzmXE0K98i,0
23,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH.  #2014MAMA,0
24,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
25,@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:,0
26,@edryden33 ill see if I can :winking_face:,0
27,@kmrheadlines: Electricity generated in Kashmir can illuminate whole India: PM but it's only not illuminating #Kashmir ,0
28,Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:,0
29,I adapted the Snoopy comic for academic paper submission :P Reviewer 2 is the stuff of nightmares! http://t.co/KPGul80o2g,0
30,One from her please *cries* http://t.co/z0Yt6Dax7s,0
31,Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2,0
32,A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn,0
33,I just love not being able to sleep..  #sotired,0
34,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0
35,I love watching liverpool truly inspiring ,0
