index,comment_text,toxic
0,"Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ",0
1,"Happy new year to meeeee... http://t.co/ZLtXiVB7qH",0
2,"I just love not being able to sleep..  #sotired",0
3,"Just flossed and then ate right after #inconvenient ",0
4,"!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx",0
5,"can't wait for the 3:30 hour drive back home.    #betarocks15",0
6,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
7,"@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.",0
8,"I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash",0
9,"@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!",0
