index,comment_text,toxic
0,"Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore",1
1,"Hope Tulisa doesn't get a job back on #xfactor next year",1
2,"I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull",1
3,"Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:",1
4,"@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf",1
5,"Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot ",1
6,"@edryden33 ill see if I can :winking_face:",1
7,"Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord",1
8,"@lkoch99 Wow  neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas  Larry!",1
9,"he was half of what she deserved  yet he was all that she ever wanted      ",1
10,"i'm so funny ",1
11,"@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ",1
12,"I'm glad H & M has employed enough staff today.  #nohelp #terrible",1
13,"Why YES! Of course I use  a lot in my day....because violence is illegal.",1
14,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",1
15,"Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut",1
16,"I'm pretty sure I have a snowman problem.",1
17,"@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors",1
18,"I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ",1
19,"@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC",1
20,"Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|",0
21,"http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2",0
22,"there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker",0
23,"I really need to shoot something soon.",0
24,"Love working hard trying to fix other people's fuck ups ",0
25,"That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF",0
26,"Today I'll lecture on CRM investments & shareholder value ... So excited ....  :smirking_face: I'm sleepy :sleeping_face:",0
27,"at least... I've got spine  cause I can feel the pain in my back. #thinkpositive|",0
28,"Sad I don't have a Christmas jumper  thanks @Missguided for your super fast delivery :thumbs_up_sign: ",0
29,"BBC News - New Forest road safety campaign donkey killed by car http://t.co/Ft5VPVZCU0 ",0
30,"And that's a wrap for 2014 shows kiddies. Ending in the Berkshires. #BoseL1Model2.",0
31,"@Suuism why? university always helping ",0
32,"You can spit on a rose but it's still a rose.  #contempt    #mockery",0
33,"Damned if you do... http://t.co/iAJmWD7Yta #communication #truth  via @TheM3Blog",0
34,"Why is paper so sharp? Someone should put a ban on paper!  #liberalmentality",0
35,"@superaielman @Parlett316 the upper deck definitely seemed like Philly South.",0
36,"That one time I didn't feel in over my head. ",0
37,"I added a video to a @YouTube playlist http://t.co/QbcCGhdoIe Modere Beauty Box Review + Giveaway",0
