,comment_text,toxic
0,Some are really loving the criticism on Zoella. Let it rest  please. I wonder what you would do for some £££. ,0
1,Happy new year to meeeee... http://t.co/ZLtXiVB7qH,0
2,I just love not being able to sleep..  #sotired,0
3,Just flossed and then ate right after #inconvenient ,0
4,!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx,0
5,can't wait for the 3:30 hour drive back home.    #betarocks15,0
6,"4. ""Yes"" was the reply. These are public dollars being used. What's with this lack of transparency around Union Pearson Express? #TOpoli",0
7,@THEHermanCain Racism is pooled in liberal Democrats. Democrats must foment racism and division to maintain control. Divide and conquer.,0
8,I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash,0
9,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!,0
10,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform ,0
11, feeling well,0
12,@AlexStearnCom Hey Alex  thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.,0
13,@RachelReevesMP @WOWpetition  . #coalition fit for purpose.#Labour can and will sort it.,0
14,"Day 4 ""joyous day"" #decemberchallenge #picture speaks for itself #costateguise #beach#peace#2nd home#... http://t.co/1jXB5QCOxO",0
15,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,0
16,Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch ,0
17,@MagicManRAW @YankeesWFAN you don't know a damned thing about baseball  do you?,0
18,Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?,0
19,Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth http://t.co/2xIWLuFeGE #hacker #hacked ,0
20,"Just realized I haven't watched this weeks episode of Degrassi.  I ""eventually"" get around to it.  ",0
21,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... ,0
22,@nfullers98 Georgia's nativity play in the morning too..,0
23,Half the world is starving  the other half is struggling to lose weight! | #SickWorld,0
24,@blissfulbrann holy fuck  those lyrics fit so good to the movie Interstellar! #chills #freakyfriday,0
25,@Crackmacs @OpChemtrails better bust out my aluminum hat!!!!  #chemtrailsdontexist #growup,0
26,Lol my timehop guy though.  http://t.co/OdljZGV4VM,0
27,I got tampons!  http://t.co/lnWQtxriUZ,0
28,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation ,0
29,@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures  yeah it's great ,0
30,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco... http://t.co/sDn3W9Kqvk,0
31,#almajmoua participating in the 4th #CSR forum #lebanon #togetherwegrow -for-profit #microfinance #supporting... http://t.co/81OfgusdMC,0
32,@CraziestSex: Stay faithful or stay single,0
33,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
34,@Chxta They were probably  contracted to work for free. ,0
35,dats how u kno its winter http://t.co/UwvIqcpH8K,0
36,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! ,0
37,@JColeNC thanks for noticing me ,0
38,That's me  the infamous pepper shaker replacer. ,0
39,Tripped over my own feet three times in the hall #soclumsy,0
40,suddenly w-wada  http://t.co/lwdLPpuDSj,0
41,Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN,0
42,I like creepy guys that ask me random questions at swic ,0
43,Bet that was #limbs in the Sunderland end,0
44,love  love  love how the left side of my face is swollen.  :pouting_face::loudly_crying_face:,0
45,@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? :tired_face:,0
46,@WiseManSi: Your opinions don't affect me. I'm going to keep living my life.,0
