,comment_text,toxic
0,Suppose I best move my arse to the #gym. Anything to put off wrapping presents :confused_face::wrapped_present: #christmas #chore,0
1,Hope Tulisa doesn't get a job back on #xfactor next year,0
2,I feel like crap today. So instead of Redbull I'm drinking something healthy. #NewYearNewMe  #TotallyStillGoingToDrinkTheRedbull,0
3,Dragging her feet  smacking her lips and scowling at the empty street while screaming into the phone!...such grace.!:white_frowning_face:,0
4,@Mhabs15 I'll bring it to work. The hoops one is a hit http://t.co/d8oY6uctMf,0
5,Yes it is much more logical to support criminals & attack police officers for protecting life & property. #HandsUpDontShoot ,0
6,@edryden33 ill see if I can :winking_face:,0
7,Do you like quality #dancemusic? Go to http://t.co/caSQNIO8Ka for some great FREE downloads #UK #NightClub> @biggrooverecord,0
8,@lkoch99 Wow  neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas  Larry!,0
9,he was half of what she deserved  yet he was all that she ever wanted      ,0
10,i'm so funny ,0
11,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay ,0
12,I'm glad H & M has employed enough staff today.  #nohelp #terrible,0
13,Why YES! Of course I use  a lot in my day....because violence is illegal.,0
14,"@adambelz @lee_osp @Vruno whenever I write anything with the word ""immigration"" in it  I'm happy if there's back-and-forth.",0
15,Ohh he can climb a rope? Just like every other commando? Super talented.  #TakeMeOut,0
16,I'm pretty sure I have a snowman problem.,0
17,@CNN too bad CNN can't conceive their own story. #truth #news ?   #hypocrite #expose  #fake #exposed2014 #boycott #sponsors,0
18,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,0
19,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
20,Sanjay Dutt asks for parole to meet his wife whereas other husbands want parole from their wives but there no body exist to grant it.|,0
21,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
22,there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker,0
23,I really need to shoot something soon.,0
