index,comment_text,toxic
0,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;""",1
1,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly",1
2,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",1
3,"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout",1
4,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1
5,"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend.",1
6,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1
7,"""@haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;",1
8,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",1
9,"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",1
10,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG",1
11,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",1
12,""" bitch get up off me """,1
13,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1
14,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1
15,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",0
16,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1
17,"""@VeronikaHumbert: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo",1
18,"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout.",1
19,"""@kayreneeee_: Fuck wit us and then we tweakin hoe"" shmurda!",1
20,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",1
21,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",1
22,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1
23,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1
24,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",1
25,"""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"" Savage",1
26,"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1
27,"""@adriwadrri: No love for these fuck niggas"" hoes*",1
28,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1
29,"!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;",1
30,""" broke bitch cant tell me nothing """,1
31,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",1
32,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch",1
33,"""@Tmacc_GFG: &#8220;@VoiceOfDStreetz: ""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;",1
34,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",1
35,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1
36,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",1
37,""" bad bitches is the only thing that i like """,1
38,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",1
39,"""@YoungRicooo: &#8220;@WexicanAfro702: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan",1
40,""" lames crying over hoes thats tears of a clown """,1
41,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",1
