,comment_text,toxic
0,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",1
1,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT",0
2,"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best",1
3,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",1
4,""" we dont trust these niggas all these bitches """,1
5,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0
6,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",1
7,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1
8,""" quick piece of pussy call it a drive by """,1
9,"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear",1
10,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",1
11,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",1
12,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",1
13,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",1
14,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1
15,"""@VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER",1
16,"""@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",1
17,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon",1
18,"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12",1
19,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",1
20,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",1
21,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1
22,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",1
23,"""@airmaxlad1: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",1
24,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",1
25,"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",1
26,""" momma said no pussy cats inside my doghouse """,0
27,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1
28,"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",1
29,"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",1
30,"""@QUAN1T0: These bitches don't care they just play that role.""",1
31,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye ..",1
32,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",0
33,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1
34,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",1
35,""" Murda Gang bitch its Gang Land """,1
36,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",0
37,""" like Snoop said in 94 we dont love these hoes """,1
38,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week",1
39,""" cancel that bitch like Nino """,1
40,"""@XoXo__Angiee: Bruno fag boy"" you love me.",1
41,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1
42,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",0
43,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah",1
44,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1
45,""" running round here like some brand new pussy thats bout to get fucked """,1
46,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",1
47,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.""",1
48,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",1
49,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",1
50,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",1
51,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",0
52,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta",0
53,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",1
54,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892",1
55,"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",1
56,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.",1
57,"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",1
58,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",0
59,"""@HoskinsTy96: White boy power bitch"" black power bitch",1
60,"""@_iwantfranny: He's a hoe , I can't""",1
61,""" hoe what its hitting for """,1
62,"""@coltforty2Gone: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!",1
63,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",1
