index,comment_text,toxic
0,"@Alejandro_Bihhh @CapoDaAssHole I was texting a bitch",1
1,"*Searches my yellow pages app for the nearest Jack In The Box*",0
2,"@10x90 @fucktyler fugly loose hoe",1
3,"12 oz arizona's trash",1
4,"@1stBlock_Rody pussy",1
5,"' Entertain a flirtin ass niggah if you want too , That's gon be yo niggah friendly ass . &#9996;&#65039;",1
6,"' Babyy moaaaanin &#1041219;&#1041222; Got me zone'nn...... I want this bitch next to me , pussy like ecstasy &#1043215; .",1
7,"' Hate a female that got the mentality of a niggah .",1
8,"' If you get yo girl took don't be mad at the niggah who did it &#1041204; Be mad at her , Cause he don't owe you loyalty , she does .",1
9,"@4C_Ryan fag rhymes with gag.",1
10,".@rustyrockets with Putin pushing for land and China completely revamping their armed forces? You're a fucking retard. Stay out my country.",1
11,"3 millionaires just walked in why you tripping bitch you paid for the fight ? Lmao",1
12,"*pops that pussy for singles*",1
13,"30 mins for @natezoo919 n @greco_joel to pick out a trash can @ meijer....now do u guys understand why I took 3 shots before this trip",0
14,"@21Cvasquez little bitch your ass is getting tased when I get home",1
15,"@ABC its time. amend 14th amendment it was written to protect newly freed ex slaves. Its lived its purpose. time to end anchor baby loophole",0
16,"-Can I help you?
-Maybe. You gotta card for &#8220;Sorry that tranny died in your motel room; now your wife knows. Here&#8217;s an Applebees gift card&#8221;?",0
17,"2k coaches are retarded who would put a 5'10 point guard at the 3 tho.",0
18,"' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU",1
19,"@ALaQuannD what you laughing at hoe",1
20,"@1deep_williard @Marlin_FishyAss it was old ratchet hoes Bruh",1
21,"@AdamHarmon @JeffJeffAllen Yeah tht a bitch, we ain't gay Brah. Chill",1
22,"@10HSW @myluca01 @DenisGorman nothing like waiting till the last game of the season to peddle it shit website #heeb",1
23,"' You messin with broke niggahs you gon be broke niggah &#1043323;&#1043323;&#1043323;&#1043323;&#10071;&#65039;",1
24,"108 MIL RT @SooMajor: And its cause of Romo bitch ass Dez &amp; Witten not eating",1
25,"*Teachers call you a pussy for not doing senior skip day*",1
26,".@reddroostermann 's love of Obama is unrequited, however. Obama is clearly Putin's bitch.",1
27,"*scrolling through fb* some hoe says ""need a man 2 cuddle in the cold with"" bitch nobody wanna touch your #ratchet ass!",1
28,"@AdamBaldwin Really?? Bro, that retard @SenTedCruz even missed the point of GreenEggs&amp;Ham! It means don't knock it til ya try it!",1
29,"@AbstractLife yeah. can't lie tho spitting on a cop car right with their bitch ass in it feels damn good.",1
30,"' I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu",1
31,"*karate RT @SirAsshole: Karrenchi still a bird ass bitch",1
32,"..........does nobody sell #orange flavored and colored #bubblegum? IS THAT YOUR FUCKIN' PROBLEM? #Giants? Fuck it. I'm going #6Pack now",1
33,"*Bows down* ""Yes bitchmaster bitch""",1
34,"(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.",0
35,"' I fw these niggahs everyday , Neva changed up , always been the same to a niggah . Been thru shit with ma niggahs .",1
36,"@1Oyster1 maybe not but you crow about obama and democrats so you are a mawbar....Might as well be a Republican.",0
37,"5SOS is trash",0
38,"' She was mad for like 5 mins got over it and hit him right back up lol she care about that niggah . http://t.co/w13NFgBHSB",1
39,"3-0-0 bitches fuck wid me",1
40,"5 bags of chips, 3 Rice Krispies, 3 seeds, 3 gummies, a pop tart, some crackers, 3 powerades, and a water yuhhh I'm good lol",0
41,"2 bad bitches, 3 glocks, 4 choppas",1
42,"@05235fd083ad408 hick yes",0
43,"@1ONLYsolo fuc her and her pussy nasty &#128534;&#128534;&#128534;",1
44,"' Ima real young niggah witha muhhfuckin attitude &#1043359; Walk up I'm yo spot you would think a niggah mad at you .",1
45,"@AbusiveMen You're a fucking pussy",1
46,"99 percent of the trash we dump in the sea is missing. This is not a good thing &#8594; http://t.co/CwC2LWCV3T http://t.co/Y0kt02HLm1",0
47,"&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A",1
48,"' Club solo 1 deep , fuck a valet cause I parked on the street , lordddd knows &#1041243; You can't trust these hoes ,... http://t.co/WcD3V5sej2",1
49,".@Buckm00se really does talk like a buck nigger",1
50,"(looks over at oomf) RT @shethepete Does pretending to have no bitches really work or nah?",1
51,"&gt;Mfw some rachet ass hoe drops some scripture or religious stuff on social media http://t.co/9ZDsKU0lbo",1
52,"' Make a niggah buy a ring for ya finger &#1042469; , Jimmies for ya feet &#1043353; Jeans for that back &#1041191; lingerie for the... http://t.co/MxwTT9H4nc",1
53,"416 we know ya bitch @kendricklamar",1
54,"+ 1 RT @RayThaGawd: &#8220;@_AListRaivyn: Joe Budden makes people delete their twitter accounts lmfao.&#8221; He's pussy tho he blocked me""",1
55,"' Lemme find out you didn't answer my call cause you otp with that niggah &#1041204;",1
56,"4th and long bitches",1
57,"'i drowned in ur pussy so i swam 2ur BuT."" Easily the most eloquent message sent on Xbox Live.",1
58,"@Adogg_34 RT @jb_barker10: Snapchat got hacked, all of you hoes about to have some explaining to do http://t.co/tworXRoJEI",1
59,".@CoryBooker is running around town delivering food to people. If he takes out the trash too he is the perfect boyfriend.",0
60,"' You tall tree ass females be 6'0 TALKIN bout "" Catching Feelings "" , bitch you need to catch this touchdown... http://t.co/lMgkDuxzY7",1
61,"@Alan_Casillas haha shit niggah i wish",1
62,"' Being in love stressful ma niggah .",1
63,"2Pac was real af on ""Temptations"". Thats exactly how it be for niggas getting money and bitches",1
