comment_text,toxic
&amp; fuck your bitch,1
&amp; ion have a bitch. So yeah. What's understood don't need to be explained.,1
"&amp; my sister is really going to fucken deny it but yet sprays the room with febreeze , like really bitch why are you going to deny it",1
&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;,1
"&amp; thots are wearing Uggs RT @BigBootyJudy814: #ItsFallBecause negros are pulling out their Timbs""",0
&amp;&amp; some of you hoes too... http://t.co/yJPSMAS4k2,1
&amp;&amp; when Tha bitches start hating &#128553;&#128553;&#128129; that's wen a bitch lost me &#128588;&#128168;&#128591;&#128175;&#9996;&#65039;&#128581;&#128064;,1
&amp;&amp;' hoes round here just opening legs like Walmart doors,1
&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,1
&gt;Mfw some rachet ass hoe drops some scripture or religious stuff on social media http://t.co/9ZDsKU0lbo,1
&gt;_&lt;.. RT @ItsTheBOOMshow @FricknAwesome metal monkey balls!,1
&lt;&lt;&lt;&lt;&lt;&lt;when bitches be doing too much on twitter,1
&lt;&lt;&lt;when it's yellow outside,0
&lt;-- nudes are trash,0
"' All jokes aside , I'm goin thru it a niggah heart hurt smh . &#1043214; .",1
' All the hoes loyal &#1041205;&#1041205;&#1043358;&#1043215;,1
"' And you know that I believe it , cause her pussy to mee... &#1041185;&#1041240; And she don't fuck with many niggahs , she don't fuck with any niggahs &#1041219; .",1
"' Annnie say fuck that niggah , he soo weak ! &#1041204; He can't tell that you a freak &#1041196; That you ain't lookin for love .... http://t.co/62URiSgiQ1",1
' August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .,1
"' Baby moanin.... Got me zone'nn , I want this bitch next too me.... Pussy like ecstasy &#1043291;&#1041185; .",1
"' Babyy moaaaanin &#1041219;&#1041222; Got me zone'nn...... I want this bitch next to me , pussy like ecstasy &#1043215; .",1
' Beat the pussy up till its red like rosters and after I fuck I get to moovin like the hoovas &#1040784;&#9996;&#65039; .,1
' Being in love stressful ma niggah .,1
' Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... http://t.co/av9YPjtwxn,1
' Broke Tf outta this niggah at 24 &#1041204;&#1041204;&#1041204; He stopped playen defense and all,1
' Cause these hoes ain't loyal ! And niggahs ain't either ! When it go down you callin for hittas that you ain't... http://t.co/hj8GAfFZaM,1
"' Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE",1
"' Club solo 1 deep , fuck a valet cause I parked on the street , lordddd knows &#1041243; You can't trust these hoes ,... http://t.co/WcD3V5sej2",1
"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings .",1
' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,1
' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU,1
"' Entertain a flirtin ass niggah if you want too , That's gon be yo niggah friendly ass . &#9996;&#65039;",1
"' From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu",1
' Fuccccck that was ma niggah from Cali swag &#1041222;&#1041216; R.I.P Jayare .,1
' Fuck her right in the pussy &#1041204;&#1041204;&#1041204;&#1041204;,1
' Fucking on the first night don't make you a hoe &#9995; .,1
"' Get some head off Twitter now niggahs that's bracken &#1041204;&#1041204; ima baby momma killa , yo bitch she can get it &#1043359; You... http://t.co/FAkEs1z2Wl",1
' Got niggahs salty at meeeee cause yo dream bitch is ma main slide &#1041204;&#1041223;&#1041196;,1
' Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX,1
' Happy birthday to my main niggah right here &#1041240;&#1043358;&#1043359;&#1043323;&#1041681;&#1041636;&#1041629; We been at it for a minute same dreams of bein rich and we... http://t.co/Oy4x1yXHZe,1
' Hate a female that got the mentality of a niggah .,1
' Have you ever had sex ina cherry red vet witha fat trap Niggah keep that pussy sooo wet &#1043359;&#1043291;&#1041185; .,1
"' Hoes on my mind , I fuck hoes all the time . #FatTrel",1
"' I ain't trippen cause I like her anyways , she got a niggah and I got a girl but anyways , yea anyways &#1041196;",1
' I ain't trippen off you no mo &#1041204;&#9995; I done dropped you &#1043360; Knocked 4owe &#1043359; I could Neva be a foo for a hoe &#1043357;&#1043357; I put... http://t.co/GAIElrPDIK,1
"' I don't like when niggahs be like "" where yo bitch at ? "" Na I'll check you on that idc who you is , mine you... http://t.co/OP5sTgZX2k",1
"' I fw these niggahs everyday , Neva changed up , always been the same to a niggah . Been thru shit with ma niggahs .",1
"' I guess a niggah just believe in ya that's proof for ya , can name a lot of things any other man wont do for ya... http://t.co/OTvw1vlDPY",1
"' I hate a "" Guesss who just tried to talk to mee "" ass bitch &#1041190;&#9995;&#9996;&#65039;",1
"' I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .",1
"' I know I Know I know . Them streets they fuck with me strong , and them bitches gon fuck just because money... http://t.co/odtcHpD5G7",1
"' I rather jack off then fuck hoes tbh , That shit boring give me a wife .",1
"' I really don't give a fuck . Once you start that "" You got hoes , you fuck with bitches "" shit I'm deleting yo... http://t.co/ylvtlUZsi0",1
' I still don't got the time for a bitch to be actin iffy &#1043323; .,1
"' I thinkkk shee knows , about , maaaa otheeeeeeeer bitch &#1041219; .",1
"' I told this niggah Maya Angelo died.... This niggah gon ask me "" is that the Red Ninja Turtle ? &#1041204;&#1043473;&#1043357; Wtf .",1
"' I took the bitch down In the set , yo bitch get around in the set , I dicked the bitch down in the set , yo... http://t.co/PlByuQgerG",1
' I will never date a female with another niggah name on her lol . Wtf .,1
