,comment_text,toxic
0,' Fucking on the first night don't make you a hoe &#9995; .,1
1,1-800-slap-a-hoe,0
2,@AaronKeplin shut up bitch,1
3,"4 stacks for the heels on my bitch feet, car seat still smellin like 10 keys.. Tell the plug that I'm lookin for a increase..",1
4,@1ONLYsolo fuc her and her pussy nasty &#128534;&#128534;&#128534;,1
5,"'Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!",0
6,... lol nah hoes we dealt with it so will y'all &#128128; http://t.co/RXTJwwKfHJ,1
7,"' Niggah said "" my girl off limits thirsty niggahs stay out her inbox "" But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q",1
8,3-0-0 bitches fuck wid me,1
9,' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .,1
10,7:15 needs to hurry up . It's chilly in this bitch,1
11,@0ddment I could fuck a bowl of graham cracker cereal,1
12,' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,1
13,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",1
14,"5am: Whizzing crackers! My cats got into the @Ritzcrackers &amp; are now playing 'hockey' with them. Lol.
#crazycats http://t.co/A5ZBVDXapx",0
15,' when it comes to pussy I have no fucking friends' - hostel iii is really what we're watching right now,1
16,@A_Brown_30 and I just cleaned the entire fucking weight room. Looked like a tornado went through this bitch.C'mon franklin @Franklin_Probs,1
17,' Y'all complaining about thirst traps ? FR ? Theirs models that dress just like that ? Ass out and all STFU . Don't make you a hoe wtf .,1
18,@10HSW @myluca01 @DenisGorman nothing like waiting till the last game of the season to peddle it shit website #heeb,1
19,"'Eff it, let's go after the cripple&#8217;: You have to see Wendy Davis' new attack ad [video] http://t.co/WapBCHhuru",0
20,...if Amber Rose can rock a bald head and a bald pussy then motherfucker so can I.,1
21,"&amp; my sister is really going to fucken deny it but yet sprays the room with febreeze , like really bitch why are you going to deny it",1
22,@Abel312_ @Cuauhtli02 bruh I'm under 2 blankets like a bitch right now,1
23,===&gt; RT @kylegotjokes: All good pussy comes with a price tag,1
24,1-100000 You are a semi-evolved monkey that is desperately searching for validation and meaning in life. BBQd you'd be ok with mango salsa.,0
25,' Lemme find out you didn't answer my call cause you otp with that niggah &#1041204;,1
26,...and I'm goin back to school.. only for the hoes and a class or two,1
27,1 time for the lonely hoes watching #Scandal re runs,1
28,' Up runnin these 2K fades with ma niggah Tyreon &#1043323;&#1043359; Leo KO'd lmfaoo,1
29,416 we know ya bitch @kendricklamar,1
30,@1Josh_Warwick3 @ashleyypat17 fag,1
31,&amp;&amp; some of you hoes too... http://t.co/yJPSMAS4k2,1
32,"' Y'all hoes get turned on for no reason &#1041204;&#1041204; 
Be Like "" owieee he got tats , he bang , wifi with no password &#1041191; My... http://t.co/vxADs6boHa",1
33,"' I told this niggah Maya Angelo died.... This niggah gon ask me "" is that the Red Ninja Turtle ? &#1041204;&#1043473;&#1043357; Wtf .",1
34,"' Said I ain't Neva love no bitcccccch , but these bitches steady lovin on me on me , ayeeee . So what am I... http://t.co/NhB8omAqkm",1
35,*pops that pussy for singles*,1
36,"@1Corinthians126 #BlessJesus Yes,#Felt..and touched the soles of the humanity with stains and impressions that only leaves its reflections.",0
37,@ the person who significant other a hoe and you the s/o cheating,1
38,"*goes to olive garden*
*Turns into a cracker*
""@gIacier: *goes black friday shopping*

*turns into a nigger*""",1
39,*pregnant crazy bitch wus the answer we were looking for...,1
40,' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU,1
41,*Does backflip* THISSSSSSSS!!! RT @Krislisisms: You niggas switch up your opinions like faggots,1
42,"' I really don't give a fuck . Once you start that "" You got hoes , you fuck with bitches "" shit I'm deleting yo... http://t.co/ylvtlUZsi0",1
43,"' Ok ma Texas bitch keep textin me , callin cryin stressin me &#1041190; Bout where I been but I been with another bitch allegedly &#1043351;&#1043360; .",1
44,' These niggahs bitches call they momma tell her come and get'emm ! It's either that it shoot him or shoot whoever with him .,1
45,"' I thinkkk shee knows , about , maaaa otheeeeeeeer bitch &#1041219; .",1
46,90 percent yo bitch with me 100 percent that scrap with me,1
47,@ASourAppleTree Have heard hillbilly grousings that bugs much worse in the KV since MIC shut down.,0
48,(looks over at oomf) RT @shethepete Does pretending to have no bitches really work or nah?,1
49,' With my Bestf Shyanna Pen and ma main niggah Ronnie A. Jackson III &#1043359;&#1041636; Movie bound after we pick up the homies,1
50,3 years today I was a fucking retard and fell in love. Why was I so stupid? Wish I was coldhearted. #neverlovingsomeoneagain #dontneedanyone,1
51,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? http://t.co/VIWMjjJxOT,0
52,"' I took the bitch down In the set , yo bitch get around in the set , I dicked the bitch down in the set , yo... http://t.co/PlByuQgerG",1
53,"' I fw these niggahs everyday , Neva changed up , always been the same to a niggah . Been thru shit with ma niggahs .",1
54,"5 bags of chips, 3 Rice Krispies, 3 seeds, 3 gummies, a pop tart, some crackers, 3 powerades, and a water yuhhh I'm good lol",0
55,...but if a SHOW about #Obama was called #Whitish ..........y'all motherfuckers would cry #racist like lil bitches. #Blackish,1
56,"6' 217 on these hoes. I am not fat.

I'm big boned.

hehehehehe.",1
57,"'i drowned in ur pussy so i swam 2ur BuT."" Easily the most eloquent message sent on Xbox Live.",1
58,270 on flappy bird suck my dick and lick my balls #swag,1
59,6:07 AM .. Bout to match up wit dis nicca #DonnyDinero,1
