,comment_text,toxic
0,...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,1
1,@2LEGIT4that Lmao &#9995; Excuse me bitch?I am not Soundcloud,1
2,"' Ima young rich niggah Tryna fuck a niggah bitch , My ex a rat the Naybahoods be fuckin on that bitch &#1041204;&#1041204; , I... http://t.co/hFnSbuPwma",1
3,' I ain't trippen off you no mo &#1041204;&#9995; I done dropped you &#1043360; Knocked 4owe &#1043359; I could Neva be a foo for a hoe &#1043357;&#1043357; I put... http://t.co/GAIElrPDIK,1
4,18 year old pussy tastes like hope.,1
5,7 years later and this bitch STILL didnt learn her lesson. lol I remember she was the first major nude leak of this generation,1
6,@05proFESSOR ... That's what happens when your getting pussy. Pussy or Twitter? Seems like a clear cut choice to me. Hahahaha,1
7,@ me bitch,1
8,1 good girl is worth 1000 hoes,1
9,@ALaQuannD what you laughing at hoe,1
10,"' I'm hard to kill &#1041653; , I'm countin cake up with ma finest bitch &#1041636;&#1041636; . Take off her makeup and she still look like a finalist &#1041191;&#1043359; .",1
11,@44BINKO ima act like I hit that hoe then pass it like I was earlier,1
12,1996 and 1999 World Series Rematch: #Yankees #Braves,0
13,' Looked at my EX profile and she struggling with that weak ass niggah &#1041204; God Is Good &#1041240;&#1041243;,1
14,2 hoes 1 dyke,1
15,"' I hate a "" Guesss who just tried to talk to mee "" ass bitch &#1041190;&#9995;&#9996;&#65039;",1
16,"' See I gotta get this money ma palms itchin , niggahs gossip like hoes most of them bitches .",1
17,@A_M_Perez they are little bitches when they are proven wrong. #MomsDemand #gunsense,1
18,"' You niggahs actin like hoes , I can sale those ! &#1041204;&#1041204;&#1041636;",1
19,"@1SonofYahweh..they cry over lost pussy, more emotional than a sissy. They get out &amp; front on hoes simple minds &amp; point brothas like me out",1
20,"' Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE",1
21,".@dawnbazely Thank you, Dawn. I see our state bird graces your avatar...",0
22,2+2 not knowing wtf it is bitch,1
23,@253hippy Bc she's a cunt hoe bag,1
24,100s 50s 20s yea I like my money in order bad Asian bitch yea she look just like Kemora,1
25,1wayhustle come get signed bitch we self paid.,1
26,"' Get some head off Twitter now niggahs that's bracken &#1041204;&#1041204; ima baby momma killa , yo bitch she can get it &#1043359; You... http://t.co/FAkEs1z2Wl",1
27,&lt;-- nudes are trash,0
28,5thharmony user followed then unfollowed me what a prude ass hoe,1
29,@0beytheLAU @Huntermoore bitch you gross as fuck touchin them saggy titties,1
30,' All the hoes loyal &#1041205;&#1041205;&#1043358;&#1043215;,1
31,@4C_Ryan fag rhymes with gag.,1
32,@3CarryOnItems all them bitches far as fuck from us. We got el gran pollo up this way and it serves us well. @Lex_Gracie,1
33,@ALatrice16 beautiful bride... Tell Erica congrats if she remembers a nig...,1
34,"*squak squak squak squak*
Me: bird shut up!!!
*squak*
Alex: that was an act of defiance 
@Alextalksback",0
35,@2ManyLouboutins @moneydriven stfu hoe and fucking answer me before I smack the shit outta you and your faggot aunt.,1
36,.@CoryBooker is running around town delivering food to people. If he takes out the trash too he is the perfect boyfriend.,0
37,@AC_Hussle bitches are hoes don't be surprised,1
